Name_of_interviewer,Agency,Date,Hi__my_name_is_and_I_am_workin,Record_Location,_Record_Location_latitude,_Record_Location_longitude,_Record_Location_altitude,_Record_Location_precision,District,VDC_Municipality,Ward_,Age,Gender,Caste_ethnicity,If__other__what_is_your_caste_,Occupation,If_other_occupa,Do_you_have_any_health_problem,For_the_following_questions__I,_1_Are_your_main_problems_bein,_1a_What_is_your_biggest_probl,_1a_If_other_what_is_your_bigge,_1b_What_is_your_second_biggest,_1b_If_other_what_is_your_secon,_1c_What_is_your_third_biggest_,_1c_If_other_what_is_your_third,_2_Satisfied_with_gov,_2a_Top_thing_gov,_2a_If_other_top_thing_gov,_2b_Second_thing_gov,_2b_If_other_second_thing_gov,_3_Do_you_have_information,_3a_Top_need_info,_3a_If_other_top_need_info,_3b_Second_need_info,_3b_If_other_second_need_info,_4_Satisfied_with_NGOs,_4a_Top_need_NGOs,_4a_If_other_top_need_NGOs,_4b_Second_need_NGOs,_4b_If_other_second_need_NGOs,_5_Is_support_fair,_5a_Top_reason_not_fair,_5a_If_other_top_reason_not_fai,_5b_Second_reason_not_fair,_5b_If_other_second_reason_not_,_6_Prepared_for_,_7_Have_been_heard,_8_Relief_effort_progress,_9_Main_problems_women,_9a_Top_problem_women,_9a_If_other_top_problem_women,_9b_Second_problem_women,_9b_If_other_second_problem_wom,This_is_the_end_of_the_survey_,meta/instanceID,_id,_uuid,_submission_time,_index,_parent_table_name,_parent_index,_tags,_notes
Pujan Bhatta,accountability,2015-09-25,,,,,,,Kathmandu,Kapan,2,55_greater,female,other,Sherpa,other,Housewife,no_difficulty,,1___not_at_all,financial_support,,livelihoods,,food,,2___very_little,building_mater,,cash_for_work,,2___very_little,news_about_government_decision,,finding_missing_people,,1___not_at_all,building_mater,,cash_for_work,,don_t_know,,,,,5___completely_yes,1___not_at_all,1___not_at_all,2___very_little,long_term_shelter__housing,,healthcare,,,uuid:c3c7e411-b683-4fec-b820-2536fa032c70,733043,c3c7e411-b683-4fec-b820-2536fa032c70,2015-09-30T06:46:15,1026,,-1,,
Ashika Khadka,accountability,2015-09-25,,,,,,,Kathmandu,Kapan,6,25_39,male,Brahmin,,ngo_worker_bus,,yes__some_diff,,1___not_at_all,long_term_shelter__housing,,healthcare,,financial_support,,2___very_little,building_mater,,cash_for_work,,3___neutral,news_about_government_decision,,how_to_get_shelter_materials,,4___mostly_yes,,,,,2___very_little,first_come__fi,,because_people,,4___mostly_yes,2___not_very_m,2___very_little,,,,,,,uuid:52c2c9fb-a0bb-4aae-aead-6f73eed929ab,733237,52c2c9fb-a0bb-4aae-aead-6f73eed929ab,2015-09-30T07:10:48,1041,,-1,,
Ashika Khadka,accountability,2015-09-25,,,,,,,Kathmandu,Kapan,2,40_54,male,Brahmin,,ngo_worker_bus,,no_difficulty,,1___not_at_all,other,Loan for business,long_term_shelter__housing,,financial_support,,1___not_at_all,building_mater,,cash_for_work,,5___completely_yes,,,,,1___not_at_all,building_mater,,cash_for_work,,1___not_at_all,based_on_polit,,joint_families,,4___mostly_yes,4___mostly_yes,don_t_know,,,,,,,uuid:09ef71e6-6fbd-48a2-bb05-3f44fc61dd0a,733008,09ef71e6-6fbd-48a2-bb05-3f44fc61dd0a,2015-09-30T06:37:42,1019,,-1,,
Ashika Khadka,accountability,2015-09-25,,,,,,,Kathmandu,Kapan,4,25_39,male,Janajati,,ngo_worker_bus,,no_difficulty,,2___very_little,short_term_she,,livelihoods,,long_term_shelter__housing,,2___very_little,cash_for_work,,building_mater,,4___mostly_yes,,,,,3___neutral,building_mater,,cash_for_work,,2___very_little,because_people,,first_come__fi,,4___mostly_yes,2___not_very_m,2___very_little,,,,,,,uuid:034319da-7d91-4bff-899d-14bdb6148514,733045,034319da-7d91-4bff-899d-14bdb6148514,2015-09-30T06:48:19,1027,,-1,,
Ashika Khadka,accountability,2015-09-25,,,,,,,Kathmandu,Kapan,4,15_24,male,Newar,,other,Student,no_difficulty,,3___neutral,long_term_shelter__housing,,financial_support,,healthcare,,2___very_little,cash_for_work,,other,Support for students,2___very_little,how_to_get_healthcare_psycholo,,how_to_get_shelter_materials,,2___very_little,other,Support for students,cash_for_work,,2___very_little,first_come__fi,,other,Nepotism/ Favoritism,2___very_little,1___not_at_all,4___mostly_yes,,,,,,,uuid:d11091b9-b335-4937-bb96-251554ce886d,733049,d11091b9-b335-4937-bb96-251554ce886d,2015-09-30T06:51:02,1028,,-1,,
Ashika Khadka,accountability,2015-09-25,,,,,,,Kathmandu,Kapan,4,55_greater,male,Chhetri,,skilled_worker,,yes__some_diff,,1___not_at_all,long_term_shelter__housing,,financial_support,,food,,2___very_little,other,Employment Opportunity,cash_for_work,,2___very_little,how_to_get_shelter_materials,,news_about_government_decision,,3___neutral,cash_for_work,,building_mater,,2___very_little,first_come__fi,,based_on_polit,,2___very_little,2___not_very_m,1___not_at_all,,,,,,,uuid:dc62cf34-1b65-4adc-b6ea-9701ce1125f6,733055,dc62cf34-1b65-4adc-b6ea-9701ce1125f6,2015-09-30T06:55:53,1031,,-1,,
Ashika Khadka,accountability,2015-09-25,,,,,,,Kathmandu,Kapan,4,40_54,male,Gurung,,farmer_laborer,,yes__some_diff,,2___very_little,healthcare,,livelihoods,,financial_support,,4___mostly_yes,,,,,2___very_little,how_to_get_healthcare_psycholo,,how_to_get_shelter_materials,,3___neutral,cash_for_work,,building_mater,,1___not_at_all,first_come__fi,,because_people,,2___very_little,2___not_very_m,1___not_at_all,,,,,,,uuid:0647b351-10d6-4053-af89-596c48a6b09a,733056,0647b351-10d6-4053-af89-596c48a6b09a,2015-09-30T06:56:46,1032,,-1,,
Ashika Khadka,accountability,2015-09-25,,,,,,,Kathmandu,Kapan,6,15_24,male,Newar,,ngo_worker_bus,,yes__some_diff,,1___not_at_all,long_term_shelter__housing,,healthcare,,financial_support,,2___very_little,cash_for_work,,building_mater,,3___neutral,news_about_government_decision,,how_to_get_shelter_materials,,3___neutral,building_mater,,cash_for_work,,2___very_little,because_people,,first_come__fi,,2___very_little,2___not_very_m,4___mostly_yes,,,,,,,uuid:bd7e82fc-b363-49b2-b2dd-28ee0b7db148,733162,bd7e82fc-b363-49b2-b2dd-28ee0b7db148,2015-09-30T07:03:03,1035,,-1,,
Ashika Khadka,accountability,2015-09-25,,,,,,,Kathmandu,Kapan,4,40_54,male,Brahmin,,skilled_worker,,no_difficulty,,2___very_little,long_term_shelter__housing,,financial_support,,livelihoods,,2___very_little,cash_for_work,,building_mater,,2___very_little,how_to_get_shelter_materials,,other,Employment opportunity,2___very_little,other,Employment Opportunity,cash_for_work,,2___very_little,first_come__fi,,based_on_polit,,2___very_little,2___not_very_m,2___very_little,,,,,,,uuid:27694dd0-c527-43f8-81e2-6437577b2663,733181,27694dd0-c527-43f8-81e2-6437577b2663,2015-09-30T07:06:44,1037,,-1,,
Ashika Khadka,accountability,2015-09-25,,,,,,,Kathmandu,Kapan,6,25_39,male,Gurung,,skilled_worker,,no_difficulty,,2___very_little,short_term_she,,long_term_shelter__housing,,livelihoods,,2___very_little,building_mater,,cash_for_work,,2___very_little,how_to_get_shelter_materials,,news_about_government_decision,,3___neutral,building_mater,,cash_for_work,,2___very_little,first_come__fi,,based_on_polit,,2___very_little,1___not_at_all,4___mostly_yes,,,,,,,uuid:a06c85e8-c271-4c89-ac7b-4406eeb73af2,733182,a06c85e8-c271-4c89-ac7b-4406eeb73af2,2015-09-30T07:06:47,1038,,-1,,
Ashika Khadka,accountability,2015-09-25,,,,,,,Kathmandu,Kapan,6,40_54,male,Newar,,farmer_laborer,,yes__some_diff,,2___very_little,financial_support,,long_term_shelter__housing,,healthcare,,3___neutral,building_mater,,cash_for_work,,2___very_little,how_to_get_shelter_materials,,news_about_government_decision,,3___neutral,building_mater,,cash_for_work,,2___very_little,first_come__fi,,based_on_dista,,2___very_little,2___not_very_m,2___very_little,,,,,,,uuid:f4c66e12-3c8c-48e8-9fce-e6451c0cea13,733228,f4c66e12-3c8c-48e8-9fce-e6451c0cea13,2015-09-30T07:08:48,1040,,-1,,
Pujan Bhatta,accountability,2015-09-25,,,,,,,Kathmandu,Kapan,2,40_54,male,other,Sherpa,other,Trekking Guide,no_difficulty,,1___not_at_all,long_term_shelter__housing,,financial_support,,livelihoods,,1___not_at_all,building_mater,,cash_for_work,,2___very_little,news_about_government_decision,,how_to_register_for_access_sup,,1___not_at_all,building_mater,,cash_for_work,,don_t_know,,,,,4___mostly_yes,1___not_at_all,don_t_know,,,,,,,uuid:fb22248d-f952-4f88-877e-c2ec2b3c49b2,733024,fb22248d-f952-4f88-877e-c2ec2b3c49b2,2015-09-30T06:40:43,1021,,-1,,
Pujan Bhatta,accountability,2015-09-25,,,,,,,Kathmandu,Kapan,2,15_24,male,Brahmin,,other,Unemployed,no_difficulty,,1___not_at_all,livelihoods,,financial_support,,long_term_shelter__housing,,1___not_at_all,cash_for_work,,other,Quick relied during earthquake,3___neutral,news_about_government_decision,,how_to_register_for_access_sup,,1___not_at_all,building_mater,,other,Donation,1___not_at_all,because_people,,based_on_polit,,4___mostly_yes,1___not_at_all,2___very_little,,,,,,,uuid:3e499b5f-ac81-4b3f-9fd9-1ae884a63ee4,733041,3e499b5f-ac81-4b3f-9fd9-1ae884a63ee4,2015-09-30T06:43:31,1025,,-1,,
Suruchi Pant,accountability,2015-09-26,,,,,,,Kathmandu,Matatirtha,6,15_24,female,Newar,,other,Housewife,no_difficulty,,1___not_at_all,long_term_shelter__housing,,financial_support,,other,Job,1___not_at_all,building_mater,,other,Job,2___very_little,news_about_government_decision,,how_to_get_shelter_materials,,4___mostly_yes,,,,,2___very_little,based_on_polit,,first_come__fi,,4___mostly_yes,1___not_at_all,1___not_at_all,1___not_at_all,long_term_shelter__housing,,financial_support,,,uuid:8fc85272-4b4a-46d3-96c0-233ff9a116ce,736984,8fc85272-4b4a-46d3-96c0-233ff9a116ce,2015-09-30T13:43:18,1118,,-1,,
Suruchi Pant,accountability,2015-09-26,,,,,,,Kathmandu,Matatirtha,6,25_39,female,Newar,,other,Housewife,no_difficulty,,1___not_at_all,long_term_shelter__housing,,financial_support,,livelihoods,,1___not_at_all,building_mater,,cash_for_work,,2___very_little,news_about_government_decision,,how_to_get_shelter_materials,,2___very_little,building_mater,,cash_for_work,,1___not_at_all,based_on_polit,,first_come__fi,,4___mostly_yes,1___not_at_all,1___not_at_all,1___not_at_all,long_term_shelter__housing,,financial_support,,,uuid:67e8e98e-c05a-45c1-9d9d-eb1465760364,737002,67e8e98e-c05a-45c1-9d9d-eb1465760364,2015-09-30T13:45:41,1119,,-1,,
Suruchi Pant,accountability,2015-09-26,,,,,,,Kathmandu,Matatirtha,1,25_39,female,Chhetri,,government_ser,,no_difficulty,,1___not_at_all,long_term_shelter__housing,,financial_support,,other,Nothing,2___very_little,building_mater,,cash_for_work,,5___completely_yes,,,,,2___very_little,cash_for_work,,building_mater,,2___very_little,based_on_polit,,other,Nothing,5___completely_yes,1___not_at_all,1___not_at_all,3___neutral,long_term_shelter__housing,,financial_support,,,uuid:22def81f-7278-4cd8-b490-424314bf29cf,737817,22def81f-7278-4cd8-b490-424314bf29cf,2015-09-30T15:46:30,1124,,-1,,
Suruchi Pant,accountability,2015-09-26,,,,,,,Kathmandu,Matatirtha,1,25_39,female,Chhetri,,ngo_worker_bus,,no_difficulty,,2___very_little,long_term_shelter__housing,,financial_support,,other,Nothing,1___not_at_all,building_mater,,cash_for_work,,4___mostly_yes,,,,,2___very_little,building_mater,,cash_for_work,,2___very_little,based_on_polit,,first_come__fi,,4___mostly_yes,1___not_at_all,1___not_at_all,2___very_little,long_term_shelter__housing,,financial_support,,,uuid:3d037ecb-2fdb-4717-9416-252e87a0aa4f,737831,3d037ecb-2fdb-4717-9416-252e87a0aa4f,2015-09-30T15:55:19,1125,,-1,,
Suruchi Pant,accountability,2015-09-26,,,,,,,Kathmandu,Matatirtha,6,25_39,male,Chhetri,,ngo_worker_bus,,no_difficulty,,1___not_at_all,long_term_shelter__housing,,financial_support,,other,Nothing,3___neutral,building_mater,,cash_for_work,,4___mostly_yes,,,,,2___very_little,building_mater,,cash_for_work,,1___not_at_all,based_on_polit,,first_come__fi,,4___mostly_yes,1___not_at_all,1___not_at_all,,,,,,,uuid:b20aeabc-6a94-4515-b040-c7d6e365b5d2,736925,b20aeabc-6a94-4515-b040-c7d6e365b5d2,2015-09-30T13:36:38,1114,,-1,,
Suruchi Pant,accountability,2015-09-26,,,,,,,Kathmandu,Matatirtha,6,15_24,male,Chhetri,,other,Sutdent,no_difficulty,,2___very_little,long_term_shelter__housing,,financial_support,,other,Job,2___very_little,building_mater,,food_aid,,4___mostly_yes,,,,,2___very_little,building_mater,,cash_for_work,,1___not_at_all,based_on_polit,,first_come__fi,,4___mostly_yes,1___not_at_all,1___not_at_all,,,,,,,uuid:bbdd0be4-e900-4afe-bd36-98de9abb02c3,736884,bbdd0be4-e900-4afe-bd36-98de9abb02c3,2015-09-30T13:33:21,1117,,-1,,
Suruchi Pant,accountability,2015-09-26,,,,,,,Kathmandu,Matatirtha,6,55_greater,male,Gurung,,other,Nothing,yes__some_diff,,2___very_little,long_term_shelter__housing,,livelihoods,,financial_support,,don_t_know,,,,,don_t_know,,,,,3___neutral,building_mater,,food_aid,,1___not_at_all,based_on_caste,,based_on_polit,,4___mostly_yes,1___not_at_all,1___not_at_all,,,,,,,uuid:3ef4af2a-e6df-4527-a6c0-a8c4422f17ec,737009,3ef4af2a-e6df-4527-a6c0-a8c4422f17ec,2015-09-30T13:47:47,1120,,-1,,
Suruchi Pant,accountability,2015-09-26,,,,,,,Kathmandu,Matatirtha,1,25_39,male,Janajati,,ngo_worker_bus,,no_difficulty,,2___very_little,long_term_shelter__housing,,financial_support,,food,,1___not_at_all,building_mater,,cash_for_work,,4___mostly_yes,,,,,2___very_little,building_mater,,other,Nothing,2___very_little,first_come__fi,,based_on_polit,,4___mostly_yes,1___not_at_all,1___not_at_all,,,,,,,uuid:563ce404-606f-4183-85cc-227ee1676743,737018,563ce404-606f-4183-85cc-227ee1676743,2015-09-30T13:50:00,1121,,-1,,
Suruchi Pant,accountability,2015-09-26,,,,,,,Kathmandu,Matatirtha,1,25_39,male,Chhetri,,other,Student,no_difficulty,,1___not_at_all,long_term_shelter__housing,,financial_support,,other,Nothing,1___not_at_all,building_mater,,cash_for_work,,4___mostly_yes,,,,,2___very_little,cash_for_work,,building_mater,,2___very_little,based_on_polit,,other,Nothing,5___completely_yes,1___not_at_all,1___not_at_all,,,,,,,uuid:b1782692-3b8a-4b97-965f-4e3673e34def,737046,b1782692-3b8a-4b97-965f-4e3673e34def,2015-09-30T13:52:36,1122,,-1,,
Suruchi Pant,accountability,2015-09-26,,,,,,,Kathmandu,Matatirtha,1,25_39,male,Chhetri,,ngo_worker_bus,,no_difficulty,,1___not_at_all,long_term_shelter__housing,,financial_support,,other,Job,2___very_little,building_mater,,cash_for_work,,4___mostly_yes,,,,,2___very_little,building_mater,,cash_for_work,,2___very_little,first_come__fi,,based_on_polit,,5___completely_yes,1___not_at_all,1___not_at_all,,,,,,,uuid:bb66a4eb-48a2-4d15-8b86-2f2d16f33aa4,737058,bb66a4eb-48a2-4d15-8b86-2f2d16f33aa4,2015-09-30T13:54:44,1123,,-1,,
Rojina Shrestha,accountability,2015-09-28,,,,,,,Kathmandu,Ramkot,2,40_54,female,Chhetri,,other,Housewife,no_difficulty,,2___very_little,long_term_shelter__housing,,financial_support,,livelihoods,,1___not_at_all,cash_for_work,,building_mater,,2___very_little,news_about_government_decision,,how_to_register_for_access_sup,,3___neutral,building_mater,,cash_for_work,,2___very_little,first_come__fi,,based_on_polit,,3___neutral,2___not_very_m,1___not_at_all,1___not_at_all,long_term_shelter__housing,,livelihoods,,,uuid:ca72cc19-7714-4cfb-8df8-982e16a0993c,733368,ca72cc19-7714-4cfb-8df8-982e16a0993c,2015-09-30T07:32:30,1058,,-1,,
Rojina Shrestha,accountability,2015-09-28,,,,,,,Kathmandu,Ramkot,2,25_39,female,Chhetri,,other,Housewife,no_difficulty,,1___not_at_all,financial_support,,long_term_shelter__housing,,livelihoods,,1___not_at_all,cash_for_work,,building_mater,,2___very_little,news_about_government_decision,,how_to_get_shelter_materials,,2___very_little,building_mater,,cash_for_work,,2___very_little,first_come__fi,,other,Priority to friends and relatives,2___very_little,1___not_at_all,1___not_at_all,2___very_little,long_term_shelter__housing,,toilets_sanitation,,,uuid:9ba218ce-9f76-404e-b683-2cf5b4c583e4,733387,9ba218ce-9f76-404e-b683-2cf5b4c583e4,2015-09-30T07:35:23,1059,,-1,,
Rojina Shrestha,accountability,2015-09-28,,,,,,,Kathmandu,Ramkot,2,40_54,female,Chhetri,,other,Housewife,no_difficulty,,2___very_little,financial_support,,livelihoods,,long_term_shelter__housing,,2___very_little,cash_for_work,,building_mater,,2___very_little,how_to_get_shelter_materials,,news_about_government_decision,,3___neutral,cash_for_work,,building_mater,,2___very_little,based_on_polit,,first_come__fi,,2___very_little,2___not_very_m,2___very_little,2___very_little,long_term_shelter__housing,,financial_support,,,uuid:d6390dee-fce0-41b8-ba18-5ac69cc4f409,733393,d6390dee-fce0-41b8-ba18-5ac69cc4f409,2015-09-30T07:36:45,1060,,-1,,
Rojina Shrestha,accountability,2015-09-28,,,,,,,Kathmandu,Ramkot,4,40_54,female,Chhetri,,ngo_worker_bus,,no_difficulty,,1___not_at_all,long_term_shelter__housing,,financial_support,,livelihoods,,2___very_little,cash_for_work,,building_mater,,1___not_at_all,news_about_government_decision,,how_to_register_for_access_sup,,2___very_little,building_mater,,cash_for_work,,2___very_little,based_on_caste,,based_on_polit,,2___very_little,1___not_at_all,2___very_little,1___not_at_all,long_term_shelter__housing,,food,,,uuid:e7da4133-5b89-497c-b7cb-02fadbf28184,733413,e7da4133-5b89-497c-b7cb-02fadbf28184,2015-09-30T07:41:48,1062,,-1,,
Rojina Shrestha,accountability,2015-09-28,,,,,,,Kathmandu,Ramkot,4,40_54,female,Chhetri,,other,Housewife,no_difficulty,,2___very_little,long_term_shelter__housing,,financial_support,,food,,2___very_little,building_mater,,cash_for_work,,2___very_little,news_about_government_decision,,how_to_register_for_access_sup,,2___very_little,cash_for_work,,cash_for_work,,1___not_at_all,first_come__fi,,based_on_polit,,2___very_little,2___not_very_m,2___very_little,1___not_at_all,long_term_shelter__housing,,financial_support,,,uuid:4f97a8a2-b932-499a-a2e1-69c605991f0e,733430,4f97a8a2-b932-499a-a2e1-69c605991f0e,2015-09-30T07:49:19,1064,,-1,,
Rojina Shrestha,accountability,2015-09-28,,,,,,,Kathmandu,Ramkot,4,40_54,female,Brahmin,,farmer_laborer,,no_difficulty,,2___very_little,long_term_shelter__housing,,financial_support,,livelihoods,,2___very_little,cash_for_work,,building_mater,,2___very_little,news_about_government_decision,,how_to_get_shelter_materials,,3___neutral,building_mater,,cash_for_work,,1___not_at_all,based_on_caste,,because_people,,2___very_little,2___not_very_m,2___very_little,1___not_at_all,long_term_shelter__housing,,financial_support,,,uuid:66e80798-c7f1-4508-85bd-1d7754aa5d23,733454,66e80798-c7f1-4508-85bd-1d7754aa5d23,2015-09-30T07:56:47,1066,,-1,,
Rojina Shrestha,accountability,2015-09-28,,,,,,,Kathmandu,Ramkot,9,25_39,female,Chhetri,,other,Housewife,no_difficulty,,2___very_little,financial_support,,healthcare,,long_term_shelter__housing,,2___very_little,cash_for_work,,building_mater,,3___neutral,news_about_government_decision,,how_to_register_for_access_sup,,2___very_little,building_mater,,cash_for_work,,2___very_little,first_come__fi,,based_on_polit,,3___neutral,1___not_at_all,2___very_little,1___not_at_all,financial_support,,food,,,uuid:5396e86b-f947-463c-8e7c-367afa264259,733535,5396e86b-f947-463c-8e7c-367afa264259,2015-09-30T08:11:44,1078,,-1,,
Bidushi Shahi SIjapai,accountability,2015-09-28,,,,,,,Kathmandu,Ramkot,9,40_54,male,Chhetri,,farmer_laborer,,no_difficulty,,1___not_at_all,long_term_shelter__housing,,financial_support,,food,,1___not_at_all,cash_for_work,,building_mater,,2___very_little,news_about_government_decision,,how_to_get_shelter_materials,,2___very_little,cash_for_work,,building_mater,,2___very_little,first_come__fi,,based_on_polit,,2___very_little,3___neutral,1___not_at_all,,,,,,,uuid:d36dc9ef-4752-4645-9ed2-627f888c9e51,733527,d36dc9ef-4752-4645-9ed2-627f888c9e51,2015-09-30T08:07:31,1076,,-1,,
BIdushi Shahi Sijapati,accountability,2015-09-28,,,,,,,Kathmandu,Ramkot,2,25_39,male,Chhetri,,farmer_laborer,,no_difficulty,,1___not_at_all,financial_support,,long_term_shelter__housing,,livelihoods,,2___very_little,cash_for_work,,building_mater,,2___very_little,news_about_government_decision,,how_to_get_shelter_materials,,3___neutral,cash_for_work,,building_mater,,1___not_at_all,based_on_polit,,other,poor Inspection,3___neutral,2___not_very_m,2___very_little,,,,,,,uuid:16768d7b-aee8-4250-8196-ace7f5175bc0,733412,16768d7b-aee8-4250-8196-ace7f5175bc0,2015-09-30T07:38:23,1061,,-1,,
Bidushi Shahi Sijapati,accountability,2015-09-28,,,,,,,Kathmandu,Ramkot,4,40_54,male,Tamang,,farmer_laborer,,no_difficulty,,2___very_little,long_term_shelter__housing,,financial_support,,livelihoods,,1___not_at_all,cash_for_work,,building_mater,,2___very_little,news_about_government_decision,,how_to_register_for_access_sup,,2___very_little,cash_for_work,,building_mater,,1___not_at_all,first_come__fi,,based_on_polit,,2___very_little,1___not_at_all,2___very_little,,,,,,,uuid:a9370e97-f2e9-45d9-b3e0-cf9536f5e8cd,733439,a9370e97-f2e9-45d9-b3e0-cf9536f5e8cd,2015-09-30T07:51:50,1065,,-1,,
BIdushi Shahi Sijapati,accountability,2015-09-28,,,,,,,Kathmandu,Ramkot,4,25_39,male,Tamang,,farmer_laborer,,no_difficulty,,2___very_little,financial_support,,long_term_shelter__housing,,livelihoods,,2___very_little,cash_for_work,,building_mater,,2___very_little,news_about_government_decision,,how_to_get_shelter_materials,,2___very_little,cash_for_work,,building_mater,,2___very_little,based_on_polit,,first_come__fi,,2___very_little,2___not_very_m,2___very_little,,,,,,,uuid:94081561-9407-46d2-bbaf-67534a87d203,733455,94081561-9407-46d2-bbaf-67534a87d203,2015-09-30T07:56:49,1067,,-1,,
Bidushi Shahi Sijapati,accountability,2015-09-28,,,,,,,Kathmandu,Ramkot,9,40_54,male,Chhetri,,farmer_laborer,,no_difficulty,,2___very_little,financial_support,,food,,livelihoods,,1___not_at_all,cash_for_work,,building_mater,,2___very_little,news_about_government_decision,,how_to_get_shelter_materials,,2___very_little,cash_for_work,,building_mater,,2___very_little,based_on_polit,,first_come__fi,,2___very_little,1___not_at_all,2___very_little,,,,,,,uuid:bbfa2cd9-dda7-4426-b78e-0deb7b5296a8,733532,bbfa2cd9-dda7-4426-b78e-0deb7b5296a8,2015-09-30T08:10:19,1077,,-1,,
Bidushi Sijapati,accountability,2015-09-28,,,,,,,Kathmandu,Ramkot,2,40_54,male,Chhetri,,ngo_worker_bus,,no_difficulty,,1___not_at_all,financial_support,,toilets_sanitation,,long_term_shelter__housing,,2___very_little,cash_for_work,,building_mater,,2___very_little,news_about_government_decision,,how_to_get_shelter_materials,,2___very_little,building_mater,,cash_for_work,,2___very_little,first_come__fi,,based_on_polit,,3___neutral,2___not_very_m,1___not_at_all,,,,,,,uuid:bc41c3eb-3ee8-42c3-92b3-ad9fc049a682,733417,bc41c3eb-3ee8-42c3-92b3-ad9fc049a682,2015-09-30T07:44:20,1063,,-1,,
Rojina Shrestha,accountability,2015-09-28,,,,,,,Kathmandu,Ramkot,9,40_54,male,Chhetri,,farmer_laborer,,no_difficulty,,1___not_at_all,long_term_shelter__housing,,financial_support,,healthcare,,1___not_at_all,cash_for_work,,building_mater,,3___neutral,how_to_get_shelter_materials,,news_about_government_decision,,3___neutral,cash_for_work,,building_mater,,1___not_at_all,based_on_polit,,first_come__fi,,2___very_little,2___not_very_m,2___very_little,,,,,,,uuid:0df3c420-349d-4b3a-b250-a3cc11cfad1a,733475,0df3c420-349d-4b3a-b250-a3cc11cfad1a,2015-09-30T08:00:07,1068,,-1,,
Rojina Shrestha,accountability,2015-09-28,,,,,,,Kathmandu,Ramkot,9,40_54,male,Chhetri,,farmer_laborer,,no_difficulty,,1___not_at_all,financial_support,,food,,long_term_shelter__housing,,1___not_at_all,cash_for_work,,building_mater,,1___not_at_all,news_about_government_decision,,how_to_register_for_access_sup,,1___not_at_all,building_mater,,cash_for_work,,2___very_little,first_come__fi,,based_on_polit,,2___very_little,3___neutral,2___very_little,,,,,,,uuid:12107106-9a6f-420b-a2d3-eee8b482249c,733536,12107106-9a6f-420b-a2d3-eee8b482249c,2015-09-30T08:11:46,1079,,-1,,
Suruchi Pant,accountability,2015-09-30,,,,,,,Kathmandu,Satungal,1,40_54,female,Newar,,other,Nothing,no_difficulty,,1___not_at_all,long_term_shelter__housing,,financial_support,,livelihoods,,2___very_little,building_mater,,food_aid,,don_t_know,,,,,4___mostly_yes,,,,,don_t_know,,,,,4___mostly_yes,1___not_at_all,don_t_know,1___not_at_all,long_term_shelter__housing,,livelihoods,,,uuid:e729f3e9-0cd8-41e3-8a86-2ef3465b6110,736272,e729f3e9-0cd8-41e3-8a86-2ef3465b6110,2015-09-30T12:25:57,1,,-1,,
Suruchi Pant,accountability,2015-09-26,,,,,,,Kathmandu,Satungal,1,25_39,female,Gurung,,other,Housewife,no_difficulty,,2___very_little,long_term_shelter__housing,,financial_support,,seeds_and_fertilizers,,2___very_little,building_mater,,cash_for_work,,2___very_little,news_about_government_decision,,how_to_get_shelter_materials,,2___very_little,building_mater,,cash_for_work,,3___neutral,based_on_caste,,based_on_polit,,4___mostly_yes,2___not_very_m,1___not_at_all,2___very_little,long_term_shelter__housing,,financial_support,,,uuid:179c58f7-3e31-43f2-9025-7852f2bdd751,736297,179c58f7-3e31-43f2-9025-7852f2bdd751,2015-09-30T12:28:26,1109,,-1,,
Suruchi Pant,accountability,2015-09-26,,,,,,,Kathmandu,Satungal,1,25_39,female,Tamang,,ngo_worker_bus,,no_difficulty,,1___not_at_all,long_term_shelter__housing,,financial_support,,other,Nothing,2___very_little,building_mater,,other,Nothing,2___very_little,news_about_government_decision,,how_to_get_shelter_materials,,1___not_at_all,building_mater,,food_aid,,2___very_little,based_on_polit,,based_on_caste,,4___mostly_yes,1___not_at_all,2___very_little,2___very_little,long_term_shelter__housing,,financial_support,,,uuid:ea328f2a-f8f0-421c-8beb-a49ddf2dd8d1,736330,ea328f2a-f8f0-421c-8beb-a49ddf2dd8d1,2015-09-30T12:31:08,1110,,-1,,
Suruchi Pant,accountability,2015-09-26,,,,,,,Kathmandu,Satungal,3,25_39,female,Newar,,other,Housewife,no_difficulty,,1___not_at_all,long_term_shelter__housing,,livelihoods,,financial_support,,1___not_at_all,building_mater,,food_aid,,2___very_little,news_about_government_decision,,how_to_get_shelter_materials,,1___not_at_all,building_mater,,food_aid,,2___very_little,based_on_polit,,first_come__fi,,4___mostly_yes,1___not_at_all,1___not_at_all,2___very_little,long_term_shelter__housing,,financial_support,,,uuid:c3dfcb98-bb30-4ab1-81a7-b123ec42236d,736811,c3dfcb98-bb30-4ab1-81a7-b123ec42236d,2015-09-30T13:22:25,1112,,-1,,
