Cluster,Program,2016,2017,2018,2019,2020,Total,On-budget Sources,Off-budget Sources,Unknown
"Agriculture, Livestock Development and Irrigation",Establish an early warning system and adopt early warning information for managing climate change risks in agriculture and food and nutrition security.,40.9,40.9,32.7,32.7,16.4,163.6,,,
"Agriculture, Livestock Development and Irrigation",Strengthen the seed and fodder reserve system to cope with natural disasters ,40.9,40.9,32.7,32.7,16.4,163.6,,,
"Agriculture, Livestock Development and Irrigation",Improve capacity of extension staff and farmers in climate smart agricultural practices,20.5,20.5,16.4,16.4,8.2,81.8,,,
Transport,Panchkhal Melamchi Road (41 km),500,500,494,,,1494,50,940,504
Transport,Dhading Gorakha Road (46 km),600,600,476,,,1676,55,1055,566
Transport,Dolakha Singati(35 km),400,475,400,,,1275,40,805,430
Transport,Other Roads at different locations,55,0,0,,,55,55,,0
Transport,"Bridges (Bhalam Khola 25m, Khudi Khola 40m, Hanumante Khola 35m)",30,40,30,,,100,,100,0
Transport,Araniko Highway,80,80,60,,,220,220,,0
Transport,Araniko Highway,250,250,248,,,748,,,748
Transport,Baglung-Beni-Jomsom,25,25,,,,50,50,,0
Transport,Lamosangu-Jiri Road,50,55,,,,105,105,,0
Transport,Charikot-Dolkha Urban Road,10,,,,,10,10,,0
Transport,Tamakosho- Manthali-Khurkot,25,25,,,,50,50,,0
Transport,Tamakosho- Manthali-Khurkot,30,28,,,,58,58,,0
Transport,Dolalghat-Chautra Road,20,20,,,,40,40,,0
Transport,Galchhi-Devighat-Pipaltar,7,,,,,7,7,,0
Transport,Pasanglamhu marga,40,40,33,,,113,113,,0
Transport,Gangate-Dhikure-Labhdu-Kharanitar-Samundaratar     Road,11,,,,,11,11,,0
Transport,Gorkha Barpak road 48km,30,43,,,,73,73,,0
Transport,Barpak-Laprak Gumda Road 17 Km,20,20,,,,40,40,,0
Transport,Benighat-Arughat-Soti Road 58 Km +other Regional Road,20,25,,,,45,45,,0
Transport,Kaligandaki Corridor ( Gaodakot-Ramdi-Beni),7,,,,,7,7,,0
Transport,Sankhu-Bhotechaur Road,10,,,,,10,10,,0
Transport,Suryabinayak-Pilot Baba,2,,,,,2,2,,0
Transport,Changu Narayan- Duwakot,7,,,,,7,7,,0
Transport,Lubu-Lamatar-Lakuri Bhanjyang,5,,,,,5,5,,0
Transport,Maitighar Singhadarbar Road,2,,,,,2,2,,0
Transport,Kathmandu Vallry Roads damage by the track of heavy equipments,25,,,,,25,25,,0
Transport,Pokhara- Baglung Highway,20,,,,,20,20,,0
Transport,Pokhara- Baglung Highway,20,,,,,20,,,20
Transport,"Kathmandu Vallry Roads damage by the track of heavy equipments
during rescue operation",25,,,,,25,,,25
Transport,East West highway(H01),2,,,,,2,,,2
Transport,Tribhuvan Highway,7,,,,,7,,,7
Transport,Prithvi Highway,20,,,,,20,,,20
Transport,Prithvi Highway,28,,,,,28,,,28
Transport,Narayanghat- mugling Road,5,,,,,5,,,5
Transport,Banepa-Sindhuli-Bardibas highway,30,43,,,,73,,,73
Transport,Siddhartha Highway,10,,,,,10,,,10
Transport,Siddhartha Highway,5,,,,,5,,,5
Transport,Abukhaireni-Gorkha,4,,,,,4,,,4
Transport,Dumre-Besishahar,5,,,,,5,,,5
Transport,Kanti Highway,,,,,,0,,,0
Transport,Hetada Bhainse,6,,,,,6,,,6
Transport,Bhainse Bhimphedi,,,,,,0,,,0
Transport,Bhaimphedi Khulekhani,3,,,,,3,,,3
Transport,Khulekhani Chhaimaile,,,,,,0,,,0
Transport,Chhaimale-Dakshinkali,4,,,,,4,,,4
Transport,Sitapaila Bhimdhunga,3,,,,,3,,,3
Transport,Balaju Bipass,3,,,,,3,,,3
Transport,Simaltari -Pyutahan Road,5,,,,,5,,,5
Transport,Physical Proporties,,,,,,0,,,0
Transport,Physical Proporty Damages -Buildings,,,,,,0,,,0
Transport,DOR Head Office Babarmahal,80,90,77,,,247,,,247
Transport,Regional Directorate Pokhara,1,,,,,1,,,1
Transport,Mechanical Training Centre Chakupat,1,,,,,1,,,1
Transport,Central Lab Chakupat,0,,,,,0,,,0
Transport,DRO Lalitpur,4,,,,,4,,,4
Transport,DRO Nuwakot,11,,,,,11,,,11
Transport,DRO Jankpur,2,,,,,2,,,2
Transport,DRO Khurkot,4,,,,,4,,,4
Transport,DRO Hetauda,9,,,,,9,,,9
Disaster Risk Reduction,"Enhancing multi hazard risk monitoring, vulnerability assessment, risk information dissemination and awareness.",219.3,224.3,204.3,61,61,1100,,590.9,509.1
Disaster Risk Reduction,Multi Hazard risk and Vulnerability Assessment,60,60,60,60,60,300,,525.4,-225.4
Disaster Risk Reduction,Monitoring of multi hazard (it does NOT include any cost of any mitigation measures),,,,,,520,,,520
Disaster Risk Reduction,Seismic hazard monitoring,20,20,,,,40,,42.1,-2.1
Disaster Risk Reduction,Flood monitoring,66.7,66.7,66.7,,,200,,,200
Disaster Risk Reduction,Landslide monitoring (increased risk due to Seismicity),66.7,66.7,66.7,,,200,,8.4,191.6
Disaster Risk Reduction,Glacial lakes and GLOF monitoring,,10,,10,10,30,,15,15
Disaster Risk Reduction,Drought monitoring,10,10,10,,,30,,,30
Disaster Risk Reduction,Fire hazard monitoring,,5,5,5,5,20,,,20
Disaster Risk Reduction,"Improvement of Geoinformation collection, evaluation and analysis – Continuously Observing Reference Station & Rehabilitation of Geodetic Network",762,584.3,492.4,432.3,389.8,,,,0
Disaster Risk Reduction,"Improvement of Geoinformation collection, evaluation and analysis Production of high resolution Digital Terrain Model (DTM) and Orthophoto Image",,1200,1195.5,45,,,,,0
Disaster Risk Reduction,"Risk information dissemination, public education and awareness and strengthening capacities of associated institutions",56,56,56,56,56,280,,,280
Disaster Risk Reduction,Improving Legal and Institutional Arrangements,20,20,95,50,50,280,,0,280
Disaster Risk Reduction,Legislation and Institutional Development                                                                           210.0                                            210.0,,,,,,,,,
Disaster Risk Reduction,"Development and implementation of Post 2015 Framework, DM Act/Regulations formulation and enforcement",20,20,20,,,60,,,60
Disaster Risk Reduction,Strengthening national institutions for DRM,,,16.7,16.7,,50,,,50
Disaster Risk Reduction,Strengthening local institutions for DRM,,,33.3,33.3,,100,,,100
Disaster Risk Reduction,Development Policy,,,25,,,25,,,25
Disaster Risk Reduction,Guidelines and Frameworks,,,10,20,15,45,,,45
Disaster Risk Reduction,"Earthquake Risk Reduction, Safer Building construction Practices and recovery preparedness",146.5,158,184.7,181.7,169.2,850,,127.5,722.5
Disaster Risk Reduction,Building Bye laws based on Risk Sensitive land use Planning; Development and implementation (incl. capacity building) of code complaint Manual and electronic Building Permit System,70,70,70,70,,350,,127.5,222.5
Disaster Risk Reduction,Municipal Information System and Inventory of existing building database and vulnerability assessment,,,16.7,16.7,16.7,50,,,50
Disaster Risk Reduction,Improvement of Seismic codes and retrofitting guidelines;,,2.5,2.5,2.5,2.5,10,,,10
Disaster Risk Reduction,Certification of Structural Engineers through,,,,,,,,,
Disaster Risk Reduction,Certification of Structural Engineers through Nepal Engineering Council,,2.5,2.5,2.5,2.5,10,,,10
Disaster Risk Reduction,Establishment of Engineering Staff College,,10,20,20,20,70,,,70
Disaster Risk Reduction,Systematization of skilled artisans trained for safer building construction,4,3,3,,,10,,,10
Disaster Risk Reduction,Recovery preparedness capacities and systems enhancement,12.5,12.5,12.5,12.5,,50,,,50
Disaster Risk Reduction,Appropriate technologies for housing- awareness raising and capacity building,60,60,60,60.0     60.0,,300,,,
Disaster Risk Reduction,"Operationalization of policy, guidelines and framework (Human Resource management)",,,,,,0,,,0
Disaster Risk Reduction,"Improving preparedness, evidence based response, relief and logistics system, public education.",351.7,351.7,351.7,351.7,345.7,3042.6,,570,2472.6
Disaster Risk Reduction,Building and Strengthening the EOCs,44.4,44.4,44.4,44.4,44.4,222.2,,4.5,217.7
Disaster Risk Reduction,Monsoon forums for enhanced preparedness and forums,8.5,8.5,8.5,8.5,8.5,42.5,,,42.5
Disaster Risk Reduction,"Search and Rescue Operation (Professional – Army, Nepal Police, Armed Police Force ",248,248,248,248,248,1240,,157.5,1082.5
Disaster Risk Reduction,Developing logistics hubs for disaster response,252,252,252,252,252,1260,,306,954
Disaster Risk Reduction,Strengthening preparedness/ response effectiveness and information coordination in districts and communities,10.1,10.1,10.1,10.1,10.1,50.4,,102,-51.7
Disaster Risk Reduction,Fire Services,30,30,30,30,24,144,,,144
Disaster Risk Reduction,"Big data mining for every major events - Capacity building and trainings (Mining the data from social forums to create and validate data points, and effectiveness of various programs)",6,6,6,6,6,30,,21.3,8.7
Disaster Risk Reduction,Communication for relief and recovery,10.7,10.7,10.7,10.7,10.7,53.6,,,53.6
Disaster Risk Reduction,"Improving integration of climate change adaptation and DRR, mainstreaming",24,22,22,20,20,308,,4.2,303.8
Disaster Risk Reduction,"Unified methodology of CCA and DRR (harmonization of guideline) ; CCA : risk, database, modelling in the country, dissemination",150,,,150,,,,,150
Disaster Risk Reduction,Promotion of demonstration projects already funded – best practices – knowledge management (COP = communities of practice),50,,,50,,,,,50
Disaster Risk Reduction,Mainstreaming of the existing policies at national and district levels (revising the District Disaster Management Plans + District Line Agencies for all sectors),20,20,20,20,20,100,,4.2,95.8
Disaster Risk Reduction,integration of LDRMP and CDRMP into local development plan,3,,,,,,,,
Disaster Risk Reduction,Structural - Housing (private & public) and Physical Infrastructure,,,,,,,,,
Disaster Risk Reduction,"Mainstreaming into Physcial infrastructure planning, development and implementation",,,,,,,,,
Disaster Risk Reduction,Insurance Mechanisms,1,2,2,,,,,,
Disaster Risk Reduction,Sub-Total Recovery Needs,761,776.1,857.7,664.4,645.9,5580,,1292.6,4288
Disaster Risk Reduction,Emergency operation centres,,,,,,,,,
Disaster Risk Reduction,9 EOCs,22.5,22.5,,,,45,,,45
Disaster Risk Reduction,Hydro-meteorological observation networks,,,,,,,,,
Disaster Risk Reduction,Hydrological observation networks,,,,,,,,,
Disaster Risk Reduction,First priority hydrological observation networks,92.9,121.2,9.4,,,223.5,,,223.5
Disaster Risk Reduction,Second priority hydrological observation networks,,27.7,33.9,,,61.6,,,61.6
Disaster Risk Reduction,Meteorological observation networks,,,,,,,,,
Disaster Risk Reduction,First priority Meteorological observation networks,8.6,,,,,8.6,,,8.6
Disaster Risk Reduction,Second priority Meteorological observation networks,,8,8,,,16,,,16
Disaster Risk Reduction,Additional second priority Meteorological observation networks,,,5.6,16.1,12,33.7,,,33.7
Disaster Risk Reduction,Search & rescue and fire services,,,,,,139.8,,,139.8
Disaster Risk Reduction,Nepal Police SAR,24.8,24.8,24.8,24.8,24.8,124,,,124
Disaster Risk Reduction,Fire Services,15.8,,,,,15.8,,,
Disaster Risk Reduction,River/ Flood protection embankments,,,,,,14,,,14
Disaster Risk Reduction,Embankments and offices,14,,,,,14.2,,,14.2
Disaster Risk Reduction,Sub-total Reconstruction Needs,178.5,204.3,81.8,40.8,36.8,542.2,,,542.2
Employment and Livelihood,Create employment opportunities through labour-intensive infrastructure and rehabilitation activities in disaster- affected areas,13,13,10,7.7,7.7,52,,,
Employment and Livelihood,Construction of the MOLE Office building and Vocational Skills Training Centre at Lalitpur,,,,,,,,,
Employment and Livelihood,Labour intensive reconstruction strategy,,,,,,,,,
Employment and Livelihood,Mainstream child labour and occupational safety standards and non-discriminatory practices (to implementing institutions and training institutions),,,,,,,,,
Employment and Livelihood,Skills provision coordination with the Ministry of Urban and Ministry of Education,,,,,,,,,
Employment and Livelihood,Targeted employment programme for women/elderly headed households,,,,,,,,,
Employment and Livelihood,Expanding employment information services to job seekers (both for national or international jobs),46,45.3,36.2,27.2,27.2,181,,,
Employment and Livelihood,Establish temporary employment services in each district,,,,,,,,,
Employment and Livelihood,Hire temporary staff,,,,,,,,,
Employment and Livelihood,Train service providers to facilitate matching skills and job,,,,,,,,,
Employment and Livelihood,Extend psycho social counselling to the families of migrant workers,,,,,,,,,
Employment and Livelihood,Skills Development for Employment and Economic Recovery (S-DEER),1411,1411,1129,847,847,5645,,,
Employment and Livelihood,Quick study on skills in demand and gaps -focusing on recovery,,,,,,,,,
Employment and Livelihood,Identify training in demand - new areas of work such as Aluminum fabricator,,,,,,,,,
Employment and Livelihood,Training of Trainers on the identified areas of work,,,,,,,,,
Employment and Livelihood,On-the job training to men and women on site,,,,,,,,,
Employment and Livelihood,Skills Development for Employment and Economic Recovery (S-DEER),,,,,,,,,
Employment and Livelihood,Promoting resilient livelihoods (other sectors),,,,,,,,,
Employment and Livelihood,"Restore food and nutrition security and rebuild community infrastructure (Housing, settlements, community infrastructure)",,,,,,,,,
Employment and Livelihood,"Enhance government capacity to prepare for, monitor and respond to food insecurity and natural disasters (corss cutting)",,,,,,,,,
Employment and Livelihood,Cash grant support for livelihood activities,,,,,,,,,
Employment and Livelihood,Enhancing Livelihoods of Marginalized People and Earthquake Victims for Building Back Better in Makawanpur District(Agra and Tistung),,,,,,,,,
Employment and Livelihood,CBDRR for Building Resilience of the Earthquake Affected Communities of Agra and Tistung of Makawanpur District,,,,,,,,,
Environment and Forestry,Forestry,,,,,,,,,
Environment and Forestry,Repair and construct damaged office buildings and establishing green areas,,,,,,,,,
Environment and Forestry,Construct offices and service center,2012,2000,0,0,0,4012,,,
Environment and Forestry,Construct community based forest management offices,225,100,0,0,0,325,,,
Environment and Forestry,Furniture and equipment supports,171.3,85.6,0,0,0,256.9,,,
Environment and Forestry,Repair/retrofit of office buildings,188.3,100.6,0,0,0,288.9,,,
Environment and Forestry,Establish SMRITI BAATIKA (Community Parks),1000,1000,0,0,0,2000,,,
Environment and Forestry,"Development of green corridor (Kali Gandaki, Ktm-Kerung, and Ktm-Tatopani)",0,0,0,350,250,600,,,
Environment and Forestry,Green restoration of evacuated settlement/areas (for 25 locations),150,100,0,0,0,250,,,
Environment and Forestry,Forest management activities in damaged forests,,,,,,,,,
Environment and Forestry,Enhance permanent nursery facilities to promote climate resilient multi-year seedlings,150,250,0,0,0,400,,,
Environment and Forestry,Restoration and management of damaged ecosystem,500,500,0,0,0,1000,,,
Environment and Forestry,Establishment of wood treatment facility construction and management,100,100,0,0,0,200,,,
Environment and Forestry,Forest Fire Control and Management,100,55,0,0,0,155,,,
Environment and Forestry,"Landslide hazard mitigation, wetland restoration and watershed management",,,,,,,,,
Environment and Forestry,Wetland restoration and management,300,400,0,0,0,700,,,
Environment and Forestry,Landslide treatment and risk mitigation,1923,1900,0,0,0,3823,,,
Environment and Forestry,Water source protection,694.3,988.7,0,0,0,1683,,,
Environment and Forestry,Crack sealing to minimize landslide hazards,28.2,35.2,0,0,0,63.4,,,
Environment and Forestry,Integrated watershed management,0,0,0,600,400,1000,,,
Environment and Forestry,Restoration of nature tourism infrastructure and facilities,,,,,,,,,
Environment and Forestry,Repair/retrofit and reconstruction at tourism sites,450,300,0,0,0,750,,,
Environment and Forestry,Road network and trail improvement,300,115,0,0,0,415,,,
Environment and Forestry,"Capacity building, awareness and education programme",0,0,100,50,0,150,,,
Environment and Forestry,Drinking water source and facility improvement,200,150,,0,0,350,,,
Environment and Forestry,Wildlife conservation activities,25,25,0,0,0,50,,,
Environment and Forestry,Safe shelters for visitors,100,150,0,0,0,250,,,
Environment and Forestry,Operational support to community based forest groups,,,,,,,,,
Environment and Forestry,Capacity building of community for restoration of forest and ecosystem,100,55,0,0,0,155,,,
Environment and Forestry,Livelihood restoration support,,,,,,,,,
Environment and Forestry,"Community livelihood improvement and Income generation (Cash for work, NTFPs promotion etc)",500,500,0,0,0,1000,,,
Environment and Forestry,Support to green enterprise management and development,0,0,400,100,0,500,,,
Environment and Forestry,Restoring PAs and biodiversity,,,,,,,,,
Environment and Forestry,Enhancing ecosystem based adaptation in key ecosystem,0,0,0,250,200,450,,,
Environment and Forestry,Habitat recovery and management of key wildlife species (snow and red panda,100,100,0,0,0,200,,,
Environment and Forestry,Gender and social inclusion targeted recovery needs,,,,,,,,,
Environment and Forestry,Empowerment and livelihood support to vulnerable groups considering gender and social Inclusion,250,250,0,0,0,500,,,
Environment and Forestry,Environment,,,,,,,,,
Environment and Forestry,Debris and Waste Management,,,,,,,,,
Environment and Forestry,"Debris and rubble management, improvement of landfill                                                           500.0",500,500,0,0,0,1000,,,
Environment and Forestry,Solid waste management technology,0,0,1000,700,0,1700,,,
Environment and Forestry,"Prepare environmental safety guidelines (waste management, hazardous toxic waste management etc.)",15,15,0,0,0,30,,,
Environment and Forestry,Hazardous chemical waste management,150,60,0,0,0,210,,,
Environment and Forestry,Promote research on new emerging technologies for environment promotion and safe disposal of waste,347,347,0,0,0,694,,,
Environment and Forestry,Re-installation of Renewable Energy Technologies,,,,,,,,,
Environment and Forestry,Repair and install ICS and Biogas units/replacement)                                                                   400.0,400,400,0,0,0,800,,,
Environment and Forestry,Subsidies and incentives for promotion of green recovery,500,500,0,0,0,1000,,,
Environment and Forestry,Pollution control,,,,,,,,,
Environment and Forestry,Institutional strengthening of DoE for Environmental restoration and quality monitoring,225,100,0,0,0,325,,,
Environment and Forestry,Improved brick kilns for pollution control,310,440,0,0,0,750,,,
Environment and Forestry,"Air, water and noise quality monitoring stations",0,0,265,100,0,365,,,
Environment and Forestry,Enhanced Capacity for Environmental Governance,,,,,,,,,
Environment and Forestry,Capacity building of environmental institutions,0,0,25,25,0,50,,,
Gender and Social Inclusion,"Establishment of Gender Equality and Social Inclusion (GESI) Unit at NRA (Proportional representation of women, PLWDs, other vulnerable and marginalized groups) including coordination, monitoring and ensuring accountability etc.",2,2,2,1,0,7,7,,
Gender and Social Inclusion,"Special Conditional Cash Support to most vulnerable groups (including female- headed HHs, PLWDs, elderly) to support in reconstruction of their houses (Additional Cash support for Skill and Unskilled labor).",100,55,,,,155,155,,0
Gender and Social Inclusion,"Continuing, Extending and Strengthening Community based Psychosocial Centers (Female Friendly Spaces).",15,10,5,5,5,40,40,,0
Gender and Social Inclusion,"Gender based violence (GBV) and anti-trafficking programme for women, children and adolescent girls and other vulnerable groups and to support to prevent sexual and gender-based violence.Addressing the nexus between migration and control of trafficking. Empowering Adolescent Girls and Young Women through the Provision of Comprehensive Sexuality Education and a Safe Learning Environment in Nepal National (focus on earthquake affected districts).",171,155,106,101,106,639,525,114,0
Gender and Social Inclusion,"Skills Development and Livelihood enhancement support for vulnerable groups of women, adolescent girls and third gender etc for economic revival.",930,1550,600,10,10,3100,3100,,0
Gender and Social Inclusion,"Continuing and Extending support for People living with Disabilities (PLWDs), Rehabilitation centers, Provision of accessory devices, Skills Development and Livelihood enhancement support and digitize PWLD identity cards.",20,20,17,15,15,87,87,,0
Gender and Social Inclusion,"Continuing and Extending the construction/new construction of Children homes, Safe houses for GBV survivors, Rehabilitation centers for Trafficking survivors, WCO offices, Women cooperative centers and Adolescent information and counselling centers etc.",170,340,58,,,568,568,,0
Gender and Social Inclusion,"Continuing and Strengthening support to Senior citizens by Establishment of old age houses, Day care centers with Skills Development and Livelihood enhancement training and start-up support cost.",10,9.5,9,8,6,42.5,43,,
Gender and Social Inclusion,"Building back better and safer for gender equality ensures that women and girls are empowered in public spaces which are free from sexual harassment and other forms of sexual violence. (Comprehensive legislation and policies to prevent and respond for sexual violence against women and girls (SVAWG) in public spaces in place and effectively implemented and Gender responsive planning with a focus on women and girls safety and security in public spaces improved in select programme districts/municipalities as a part of reconstruction efforts, )",1,1,1,,,3,,3,
Social Protection,Priority 1: Cash transfer to poor and vulnerable HHs ( Bottom 25 % from HH in the 14 affected districts),1856,,,,,1856,,,1856
Social Protection,Priority 2:Cash for work,2176,2000,,,,4176,,,4176
Social Protection,Priority 3: Awareness-Raising Programmes on Human Trafficking,10,10,,,,20,,20,40
Social Protection,Priority 4: Awareness-Raising Programmes on Human Trafficking,30,40,30,,,100,,,100
Social Protection,Priority 5: Expanded child Grant,562,526,518,,,1606,,,1606
Tourism,"Rehabilitation of Manaslu community/trekking trails - phase 2 (significant work done on several sections in 2015, pilot trek opened, 4.5 million spent already, several sections remaining to be done)",25,,,,,25,,,
Tourism,Rehabilitation of Langtang community/trekking trails (work to start; site visit and estimate done but awaiting procurement),25,25,,,,50,,,
Tourism,Rehabilitation of Helambu community/trekking trails,25,25,,,,50,,,
Tourism,Rehabilitation of Makalu Barun community/trekking trails,25,25,,,,50,,,
Tourism,Rehabilitation of Tsho Rolpa community/trekking trails,25,25,,,,50,,,
Tourism,Safe Trekking System,16,16,16,16,16,80,,,
Tourism,Online platform for TIMS permit information and application,2.5,2.5,,,,5,,,
Tourism,Development and promotion of rehabilitation tours showcasing the unique socio-cultural strengths and living heritage of Nepal,7.5,7.5,,,,15,,,
Tourism,"Subsidies, soft loans and grants with favorable conditions for tourism entrepreneurs",66.7,66.7,66.7,,,200,,,
Tourism,"Special subsidies, soft loans and grants for homestay owners",6.7,6.7,6.7,,,20,,,
Tourism,Promote rehabilitated tourism destinations to niche markets,5,5,5,5,5,25,,,
Tourism,"Long term capacity building programmes for producing skilled labor force for the tourism sector in hospitality, sanitation and hygiene, interpretation.Also business development and management. Special emphasis on youth and women.",20,20,20,20,20,100,,,
Tourism,Strengthen emerging tourism products to enhance diversification,10,10,10,10,,40,,,
Tourism,Bring quality standards across tourism services,5,5,5,5,5,25,,,
Tourism,"Segmentation of and targeted marketing to the domestic, Indian and Chinese markets",5,5,5,,,15,,,
Tourism,Tourism Recovery: Image Re-building for Chinese tourists,18.7,18.7,,,,37.3,,,
Tourism,Improved management towards more sustainable tourism at heritage sites,10,10,10,10,10,50,,,
Tourism,"Reinforcement of all community/trekking trails, starting with Annapurna and Everest",40,40,,,,80,,,
Electricity and Renewable Energy,Severely Hit (1st Phase),539,1527,1527,,,3593,,,
Electricity and Renewable Energy,Severely Hit (2nd Phase),,304,862,862,,2027,,,
Electricity and Renewable Energy,Crisis Hit,,243,690,690,,1623,,,
Electricity and Renewable Energy,Heavy Hit,,,74,210,210,494,,,
Electricity and Renewable Energy,Hit,,,129,364,364,858,,,
Electricity and Renewable Energy,Slightly Hit,,,14,40,40,95,,,
Electricity and Renewable Energy,CRED,63.4,111,111,31.7,,317,,,
Electricity and Renewable Energy,Small Solar Home Systems for earthquake affected households,1257.8,1257.8,,,,2515.5,,,
Electricity and Renewable Energy,Portable metallic rocket stoves for earthquake affected households,500,500,,,,1000,,,
Electricity and Renewable Energy,"Institutional solar photovoltaic systems for earthquake affected institutions (e.g., public schools, health posts, health centers, VDC offices etc.)",250,250,,,,500,,,
Electricity and Renewable Energy,"Rehabilitation of pico, micro, mini hydropower projects and improved water mills damaged by earthquake",450,450,,,,900,,,
Electricity and Renewable Energy,Reconstruction of earthquake damaged biogas plants,358.3,358.3,,,,716.6,,,
Electricity and Renewable Energy,Institutional metallic stoves for earthquake affected institutions,5,5,,,,10,,,
Electricity and Renewable Energy,Reconstruction of damaged solar wataer pumping (PVPS) projects,25.5,25.5,,,,51,,,
Electricity and Renewable Energy,Rehabilitation of micro small and medium enterprises (MSMEs) damaged by earthquake,21,21,,,,42,,,
Electricity and Renewable Energy,Program Management Cost,143.4,143.4,,,,286.8,,,
WASH,Provision of Basic Water supply through minor repair and basic rehabilitation of water supply schemes and alternate water sources with inclusion of resilience and software components (rural and urban),1249.5,535.5,,,,1785,,,
WASH,Provision of Basic Water supply in the newly/ to be resettled area,300,700,,,,1000,,,
WASH,Continued water supply in temporary settlements/camps,750,,,,,750,,,
WASH,Major redesign and rehabilitation of water supply scheme,3000,3120,,,,6120,,,
WASH,"Water supply source assessment, protection and watershed management",42,84,105,105,84,420,,,
WASH,Promotion of alternative mechanisms and technologies as part of resilience building on water supply at community and district levl,42,84,105,105,84,420,,,
WASH,"Urban Resilience WASH focused integrated program (including wastewater, Fecal sludge management, rainwater harvesting etc and other innovative technologies)",,280,490,490,140,1400,,,
WASH,"Improvement of service level from basic to medium (water quality, quantity, accessibility and duration)",,1020,1785,1785,510,5100,,,
WASH,Support for revival of Open Defecation Free (ODF)status of VDCs and Districts,480,720,,,,1200,,,
WASH,Promotion of resilient sanitation technologies,10,10,10,10,10,50,,,
WASH,"Promotion of improved and safely management sanitation services (decentralized fecal sludge and wastewater management, biogas etc.)",,10,40,40,10,100,,,
WASH,"Promotion of basic hygiene behaviors such as hand washing, menstrual hygiene management and environmental sanitation",12,13,13,12,12,62,,,
WASH,Ensure WASH facilities in institutions such schools and health facilities in coordination with education and health sector,105,245,,,,350,,,
WASH,"Ensure WASH facilities in public places in coordination with local authorities( Municipalities, urban centers )",21,49,,,,70,,,
WASH,Assessment of capacities of all WASH institutions on resilient WASH services,31,,,,,31,,,
WASH,Assessment of Federal/provincial capacities on WASH service delivery,,10,,,,10,,,
WASH,"Capacity development on WASH Disaster Risk Management of all stakeholder at national, regional, districts and village level(Urban and rural)",10,50,50,50,40,200,,,
WASH,"Capacity development on information management, assessment, monitoring and evaluation",5,10,15,15,5,50,,,
WASH,"Institutional strengthening on improved WASH service delivery including preparedness activities and infrastructure development(Reconstruction of office buildings, Lab support, Development of Standard operating procedures/simulations for service provider)",,200,300,300,36,836,,,
WASH,Support on development of integrated WASH strategy (resilient WASH services and preparedness)of Districts and Municipalities and yearly review,20,5,5,5,5,40,,,
WASH,Explore and promote innovative and resilient WASH through partnerships (national advocacy with pilot program in selected districts),10,10,10,10,10,50,,,
WASH,Sub-total D,76,285,380,380,96,1217,,,
WASH,Total,6087.5,7155.5,2928,2927,946,20044,,,
WASH,Operational Cost 5% (2.5% for HR and 2.5% for logistics) of total,304.4,357.8,146.4,146.4,47.3,1002.2,,,
WASH,Disaster preparedness activities (1% of total) of total,60.9,71.6,29.3,29.3,9.5,200.4,,,
Governance,"Building Capacity for Rights based Service Delivery
- technical assistance (temporary staff and training) on participatory planning, procurement, geology and engineering for
local government bodies
- Data Management and digitialization of official records and documents at the local level
- Empower population to ensure active community participation in planning and monitoring
- Promotion of Right to Information Act, grievance management, Human Rights, and legal aid services",295,320,275,250,250,1390,,,
Governance,"Managing Fiduciary risk
- Internal Control Mechanisms for Recovery developed
- Systems and training on budget expenditure management at the local level",50,25,25,25,,125,,,
Governance,"Strengthen Accountability
- Capacity Development for all local bodies on the Local Body Resource Mobilization and Management Operation
Guidelines (social audits, public hearings)
- Public Audit",200,200,200,200,200,1000,,,
Governance,"Coordination of Recovery
- Public Outreach on Recovery activities
- Technical assistance at the national and subnational level",110,110,110,110,110,550,,,
