Name_of_interviewer,Agency,Date,Record_Location,_Record_Location_latitude,_Record_Location_longitude,_Record_Location_altitude,_Record_Location_precision,District,VDC_Municipality,Ward_,Age,Gender,Caste_ethnicity,If__other__what_is_your_caste_,Occupation,If_other_occupa,Do_you_have_any_health_problem,_1_Are_your_main_problems_bein,_1a_What_is_your_biggest_probl,_1a_If_other_what_is_your_bigge,_1b_What_is_your_second_biggest,_1b_If_other_what_is_your_secon,_1c_What_is_your_third_biggest_,_1c_If_other_what_is_your_third,_2_Satisfied_with_gov,_2a_Top_thing_gov,_2a_If_other_top_thing_gov,_2b_Second_thing_gov,_2b_If_other_second_thing_gov,_3_Do_you_have_information,_3a_Top_need_info,_3a_If_other_top_need_info,_3b_Second_need_info,_3b_If_other_second_need_info,_4_Satisfied_with_NGOs,_4a_Top_need_NGOs,_4a_If_other_top_need_NGOs,_4b_Second_need_NGOs,_4b_If_other_second_need_NGOs,_5_Is_support_fair,_5a_Top_reason_not_fair,_5a_If_other_top_reason_not_fai,_5b_Second_reason_not_fair,_5b_If_other_second_reason_not_,_6_Prepared_for_monsoon,_7_Have_been_heard,_8_Relief_effort_progress,_9_Main_problems_women,_9a_Top_problem_women,_9a_If_other_top_problem_women,_9b_Second_problem_women,_9b_If_other_second_problem_wom,start,end,meta/instanceID,_uuid,_submission_time,_tags,,,,,,,,,,,,,,,,_notes
abc,accountability,30/08/2015,n/a,n/a,n/a,n/a,n/a,Dhading,khalte,9,15_24,female,Tamang,n/a,other,not mentioned,no_difficulty,1___not_at_all,long_term_shelter__housing,n/a,education,n/a,clean_water,n/a,1___not_at_all,building_mater,n/a,cash_for_work,n/a,5___completely_yes,n/a,n/a,n/a,n/a,2___very_little,cash_for_work,n/a,building_mater,n/a,1___not_at_all,based_on_polit,n/a,based_on_caste,n/a,don_t_know,1___not_at_all,2___very_little,1___not_at_all,clean_water,n/a,education,n/a,2015-08-30T12:43:25.000+06:45,2015-08-30T12:50:02.000+06:45,uuid:f8198527-aac9-4e0a-b579-06d0eaa78712,f8198527-aac9-4e0a-b579-06d0eaa78712,2015-08-30T07:01:29,,,,,,,,,,,,,,,,,
arjun khatiwada,accountability,30/08/2015,n/a,n/a,n/a,n/a,n/a,Dhading,khalte,1,40_54,male,Gurung,n/a,farmer_laborer,n/a,no_difficulty,1___not_at_all,long_term_shelter__housing,n/a,education,n/a,healthcare,n/a,1___not_at_all,building_mater,n/a,cash_for_work,n/a,1___not_at_all,news_about_government_decision,n/a,how_to_register_for_access_sup,n/a,1___not_at_all,cash_for_work,n/a,building_mater,n/a,1___not_at_all,first_come__fi,n/a,based_on_dista,n/a,1___not_at_all,1___not_at_all,refused,n/a,n/a,n/a,n/a,n/a,2015-08-30T12:45:36.000+06:45,2015-08-30T12:49:11.000+06:45,uuid:c0dc2542-a745-45b4-9a06-d1cfff7579fb,c0dc2542-a745-45b4-9a06-d1cfff7579fb,2015-08-30T07:01:52,,,,,,,,,,,,,,,,,
arjun prasad khatiwada,accountability,30/08/2015,n/a,n/a,n/a,n/a,n/a,Dhading,khalte,9,25_39,male,Tamang,n/a,other,not mentioned,no_difficulty,1___not_at_all,clean_water,n/a,seeds_and_fertilizers,n/a,housing_inspections,n/a,1___not_at_all,building_mater,n/a,cash_for_work,n/a,1___not_at_all,how_to_replace_personal_docume,n/a,how_to_register_for_access_sup,n/a,1___not_at_all,building_mater,n/a,cash_for_work,n/a,1___not_at_all,based_on_polit,n/a,first_come__fi,n/a,don_t_know,1___not_at_all,2___very_little,n/a,n/a,n/a,n/a,n/a,2015-08-30T12:50:02.000+06:45,2015-08-30T12:54:47.000+06:45,uuid:346b475b-8b29-4044-88db-0e4a1e6c17e4,346b475b-8b29-4044-88db-0e4a1e6c17e4,2015-08-30T07:06:14,,,,,,,,,,,,,,,,,
arjun khatiwada,accountability,30/08/2015,n/a,n/a,n/a,n/a,n/a,Dhading,khalte,1,25_39,male,Gurung,n/a,farmer_laborer,n/a,yes__a_lot_of_,1___not_at_all,long_term_shelter__housing,n/a,healthcare,n/a,financial_support,n/a,2___very_little,building_mater,n/a,cash_for_work,n/a,2___very_little,news_about_government_decision,n/a,how_to_get_healthcare_psycholo,n/a,1___not_at_all,building_mater,n/a,cash_for_work,n/a,1___not_at_all,first_come__fi,n/a,based_on_dista,n/a,5___completely_yes,1___not_at_all,2___very_little,n/a,n/a,n/a,n/a,n/a,2015-08-30T12:49:12.000+06:45,2015-08-30T12:53:40.000+06:45,uuid:ffc76f4c-2ad3-48d5-83cf-bcd558c95a0e,ffc76f4c-2ad3-48d5-83cf-bcd558c95a0e,2015-08-30T07:06:21,,,,,,,,,,,,,,,,,
arjun prasad khatiwada,accountability,30/08/2015,n/a,n/a,n/a,n/a,n/a,Dhading,khalte,9,25_39,male,other,not mentioned,government_ser,n/a,no_difficulty,2___very_little,education,n/a,clean_water,n/a,toilets_sanitation,n/a,2___very_little,building_mater,n/a,cash_for_work,n/a,5___completely_yes,n/a,n/a,n/a,n/a,1___not_at_all,building_mater,n/a,cash_for_work,n/a,2___very_little,based_on_caste,n/a,based_on_dista,n/a,don_t_know,don_t_know,don_t_know,n/a,n/a,n/a,n/a,n/a,2015-08-30T12:54:47.000+06:45,2015-08-30T12:58:00.000+06:45,uuid:b9f44d10-d26f-4c55-af2e-260bac92f533,b9f44d10-d26f-4c55-af2e-260bac92f533,2015-08-30T07:09:28,,,,,,,,,,,,,,,,,
arjun khatiwada,accountability,30/08/2015,n/a,n/a,n/a,n/a,n/a,Dhading,khalte,1,25_39,male,Tamang,n/a,ngo_worker_bus,n/a,no_difficulty,2___very_little,long_term_shelter__housing,n/a,education,n/a,toilets_sanitation,n/a,1___not_at_all,seeds_and_fert,n/a,building_mater,n/a,5___completely_yes,n/a,n/a,n/a,n/a,3___neutral,building_mater,n/a,cash_for_work,n/a,3___neutral,based_on_dista,n/a,only_if_damage,n/a,don_t_know,don_t_know,2___very_little,n/a,n/a,n/a,n/a,n/a,2015-08-30T12:53:40.000+06:45,2015-08-30T12:56:58.000+06:45,uuid:f1cc8c86-b861-4fd5-8ba3-dcc81520f9bf,f1cc8c86-b861-4fd5-8ba3-dcc81520f9bf,2015-08-30T07:09:38,,,,,,,,,,,,,,,,,
arjun prasad khatiwada,accountability,30/08/2015,n/a,n/a,n/a,n/a,n/a,Dhading,khalte,9,15_24,male,Tamang,n/a,other,student,no_difficulty,1___not_at_all,long_term_shelter__housing,n/a,education,n/a,toilets_sanitation,n/a,3___neutral,building_mater,n/a,cash_for_work,n/a,3___neutral,news_about_government_decision,n/a,how_to_register_for_access_sup,n/a,3___neutral,building_mater,n/a,cash_for_work,n/a,3___neutral,based_on_polit,n/a,based_on_dista,n/a,3___neutral,3___neutral,3___neutral,n/a,n/a,n/a,n/a,n/a,2015-08-30T12:58:00.000+06:45,2015-08-30T13:01:23.000+06:45,uuid:c2c82031-db8a-4070-83b9-8e725c45e466,c2c82031-db8a-4070-83b9-8e725c45e466,2015-08-30T07:12:50,,,,,,,,,,,,,,,,,
ramsharan adhikari,accountability,30/08/2015,n/a,n/a,n/a,n/a,n/a,Dhading,mulpani,5,25_39,female,Janajati,n/a,farmer_laborer,n/a,yes__some_diff,2___very_little,long_term_shelter__housing,n/a,livelihoods,n/a,financial_support,n/a,2___very_little,building_mater,n/a,food_aid,n/a,1___not_at_all,news_about_government_decision,n/a,how_to_get_shelter_materials,n/a,2___very_little,cash_for_work,n/a,food_aid,n/a,2___very_little,based_on_caste,n/a,other,not mentioned,5___completely_yes,1___not_at_all,don_t_know,1___not_at_all,maternal_neona,n/a,long_term_shelter__housing,n/a,2015-08-30T16:34:34.000+06:45,2015-08-30T16:38:08.000+06:45,uuid:86114313-233e-4aa3-b3d8-e40e0e9613e9,86114313-233e-4aa3-b3d8-e40e0e9613e9,2015-08-30T10:49:35,,,,,,,,,,,,,,,,,
ramsharan adhikari,accountability,30/08/2015,n/a,n/a,n/a,n/a,n/a,Dhading,mulpani,5,25_39,male,Chhetri,n/a,farmer_laborer,n/a,no_difficulty,1___not_at_all,long_term_shelter__housing,n/a,financial_support,n/a,psychosocial_counseling,n/a,2___very_little,building_mater,n/a,seeds_and_fert,n/a,2___very_little,news_about_government_decision,n/a,other,not mentioned,2___very_little,cash_for_work,n/a,food_aid,n/a,5___completely_yes,n/a,n/a,n/a,n/a,5___completely_yes,1___not_at_all,5___completely_yes,n/a,n/a,n/a,n/a,n/a,2015-08-30T16:38:08.000+06:45,2015-08-30T16:40:54.000+06:45,uuid:15be0174-fa0c-4293-ac7d-9c6de2bfc724,15be0174-fa0c-4293-ac7d-9c6de2bfc724,2015-08-30T10:52:22,,,,,,,,,,,,,,,,,
abc,accountability,30/08/2015,n/a,n/a,n/a,n/a,n/a,Dhading,mulpani,5,55_greater,male,Chhetri,n/a,farmer_laborer,n/a,yes__some_diff,1___not_at_all,long_term_shelter__housing,n/a,healthcare,n/a,financial_support,n/a,2___very_little,cash_for_work,n/a,seeds_and_fert,n/a,1___not_at_all,news_about_government_decision,n/a,how_to_register_for_access_sup,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,don_t_know,n/a,n/a,n/a,n/a,5___completely_yes,1___not_at_all,don_t_know,n/a,n/a,n/a,n/a,n/a,2015-08-30T16:34:37.000+06:45,2015-08-30T16:39:45.000+06:45,uuid:2ce10ef5-ba81-4ae1-bd1a-54fd3da284d7,2ce10ef5-ba81-4ae1-bd1a-54fd3da284d7,2015-08-30T10:52:25,,,,,,,,,,,,,,,,,
abc,accountability,30/08/2015,n/a,n/a,n/a,n/a,n/a,Dhading,mulpani,5,40_54,male,Chhetri,n/a,farmer_laborer,n/a,no_difficulty,2___very_little,long_term_shelter__housing,n/a,livelihoods,n/a,clean_water,n/a,2___very_little,cash_for_work,n/a,food_aid,n/a,2___very_little,news_about_government_decision,n/a,how_to_get_shelter_materials,n/a,2___very_little,cash_for_work,n/a,food_aid,n/a,5___completely_yes,n/a,n/a,n/a,n/a,5___completely_yes,2___not_very_m,5___completely_yes,n/a,n/a,n/a,n/a,n/a,2015-08-30T16:39:45.000+06:45,2015-08-30T16:42:29.000+06:45,uuid:28bdb19c-8a52-40a2-ac6f-c955a6359df7,28bdb19c-8a52-40a2-ac6f-c955a6359df7,2015-08-30T10:55:09,,,,,,,,,,,,,,,,,
ramsharan adhikari,accountability,30/08/2015,n/a,n/a,n/a,n/a,n/a,Dhading,mulpani,5,40_54,female,Janajati,n/a,farmer_laborer,n/a,yes__some_diff,2___very_little,long_term_shelter__housing,n/a,financial_support,n/a,psychosocial_counseling,n/a,2___very_little,cash_for_work,n/a,building_mater,n/a,2___very_little,how_to_replace_personal_docume,n/a,how_to_get_shelter_materials,n/a,2___very_little,cash_for_work,n/a,food_aid,n/a,5___completely_yes,n/a,n/a,n/a,n/a,5___completely_yes,1___not_at_all,don_t_know,2___very_little,long_term_shelter__housing,n/a,gender_based_violence,n/a,2015-08-30T16:40:55.000+06:45,2015-08-30T16:44:07.000+06:45,uuid:f6673b6c-fdfc-460b-ad0b-18e97cc2e49f,f6673b6c-fdfc-460b-ad0b-18e97cc2e49f,2015-08-30T10:55:35,,,,,,,,,,,,,,,,,
upandra shrestha,accountability,30/08/2015,n/a,n/a,n/a,n/a,n/a,Dhading,nalan,5,25_39,male,Dalit,n/a,farmer_laborer,n/a,no_difficulty,3___neutral,long_term_shelter__housing,n/a,seeds_and_fertilizers,n/a,housing_inspections,n/a,5___completely_yes,n/a,n/a,n/a,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,3___neutral,cash_for_work,n/a,housing_inspec,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,5___completely_yes,4___mostly_yes,3___neutral,n/a,n/a,n/a,n/a,n/a,2015-08-30T12:56:58.000+06:45,2015-08-30T13:02:04.000+06:45,uuid:0f3aa302-663c-4d5d-9a5e-4a3c1b249b97,0f3aa302-663c-4d5d-9a5e-4a3c1b249b97,2015-08-30T07:14:45,,,,,,,,,,,,,,,,,
bhupandra shrestha,accountability,30/08/2015,n/a,n/a,n/a,n/a,n/a,Dhading,nalan,5,25_39,female,Brahmin,n/a,farmer_laborer,n/a,no_difficulty,3___neutral,clean_water,n/a,long_term_shelter__housing,n/a,livelihoods,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,5___completely_yes,4___mostly_yes,3___neutral,3___neutral,long_term_shelter__housing,n/a,psychosocial_counseling,n/a,2015-08-30T13:02:04.000+06:45,2015-08-30T13:05:38.000+06:45,uuid:adcab649-aaca-468b-838f-a46fa08bb8e5,adcab649-aaca-468b-838f-a46fa08bb8e5,2015-08-30T07:18:19,,,,,,,,,,,,,,,,,
bhupendra shrestha,accountability,30/08/2015,n/a,n/a,n/a,n/a,n/a,Dhading,nalan,9,25_39,female,Brahmin,n/a,farmer_laborer,n/a,no_difficulty,5___completely_yes,n/a,n/a,n/a,n/a,n/a,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,3___neutral,how_to_replace_personal_docume,n/a,how_to_get_healthcare_psycholo,n/a,1___not_at_all,cash_for_work,n/a,building_mater,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,5___completely_yes,4___mostly_yes,4___mostly_yes,1___not_at_all,long_term_shelter__housing,n/a,clean_water,n/a,2015-08-30T13:36:22.000+06:45,2015-08-30T13:40:06.000+06:45,uuid:ca6ac8b3-6480-4f31-8fae-bb72573f5656,ca6ac8b3-6480-4f31-8fae-bb72573f5656,2015-08-30T07:51:33,,,,,,,,,,,,,,,,,
bhupendra shrestha,accountability,30/08/2015,n/a,n/a,n/a,n/a,n/a,Dhading,nalan,9,25_39,male,Dalit,n/a,farmer_laborer,n/a,no_difficulty,3___neutral,long_term_shelter__housing,n/a,psychosocial_counseling,n/a,clean_water,n/a,5___completely_yes,n/a,n/a,n/a,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,1___not_at_all,building_mater,n/a,seeds_and_fert,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,5___completely_yes,4___mostly_yes,4___mostly_yes,n/a,n/a,n/a,n/a,n/a,2015-08-30T13:40:06.000+06:45,2015-08-30T13:42:31.000+06:45,uuid:5095bdde-4709-4ac1-8c65-81a64275b26e,5095bdde-4709-4ac1-8c65-81a64275b26e,2015-08-30T07:53:59,,,,,,,,,,,,,,,,,
bhupendra shrestha,accountability,30/08/2015,n/a,n/a,n/a,n/a,n/a,Dhading,nalan,9,25_39,female,Brahmin,n/a,farmer_laborer,n/a,no_difficulty,4___mostly_yes,n/a,n/a,n/a,n/a,n/a,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,3___neutral,news_about_government_decision,n/a,how_to_get_healthcare_psycholo,n/a,3___neutral,housing_inspec,n/a,cash_for_work,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,4___mostly_yes,3___neutral,4___mostly_yes,3___neutral,long_term_shelter__housing,n/a,clean_water,n/a,2015-08-30T13:42:31.000+06:45,2015-08-30T13:44:55.000+06:45,uuid:62a98630-fa91-4fcf-836d-2a34e60c24c9,62a98630-fa91-4fcf-836d-2a34e60c24c9,2015-08-30T07:56:22,,,,,,,,,,,,,,,,,
bhupendra shrestha,accountability,30/08/2015,n/a,n/a,n/a,n/a,n/a,Dhading,nalan,9,25_39,male,Brahmin,n/a,farmer_laborer,n/a,no_difficulty,4___mostly_yes,n/a,n/a,n/a,n/a,n/a,n/a,3___neutral,cash_for_work,n/a,building_mater,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,1___not_at_all,building_mater,n/a,seeds_and_fert,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,5___completely_yes,4___mostly_yes,4___mostly_yes,n/a,n/a,n/a,n/a,n/a,2015-08-30T13:44:55.000+06:45,2015-08-30T13:49:21.000+06:45,uuid:a198a1fa-49db-42d7-88d3-6cd69df61a67,a198a1fa-49db-42d7-88d3-6cd69df61a67,2015-08-30T08:00:48,,,,,,,,,,,,,,,,,
bhupendra shrestha,accountability,30/08/2015,n/a,n/a,n/a,n/a,n/a,Dhading,nalan,9,40_54,male,Brahmin,n/a,government_ser,n/a,no_difficulty,3___neutral,long_term_shelter__housing,n/a,seeds_and_fertilizers,n/a,clean_water,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,3___neutral,housing_inspec,n/a,cash_for_work,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,5___completely_yes,4___mostly_yes,4___mostly_yes,n/a,n/a,n/a,n/a,n/a,2015-08-30T13:49:22.000+06:45,2015-08-30T13:54:30.000+06:45,uuid:7c98e4d7-1b2a-4082-b10e-b06ab5afbcc2,7c98e4d7-1b2a-4082-b10e-b06ab5afbcc2,2015-08-30T08:05:57,,,,,,,,,,,,,,,,,
bhupendra shrestha,accountability,30/08/2015,n/a,n/a,n/a,n/a,n/a,Dhading,nalan,5,40_54,female,Brahmin,n/a,farmer_laborer,n/a,no_difficulty,3___neutral,seeds_and_fertilizers,n/a,long_term_shelter__housing,n/a,housing_inspections,n/a,5___completely_yes,n/a,n/a,n/a,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,3___neutral,cash_for_work,n/a,building_mater,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,5___completely_yes,3___neutral,4___mostly_yes,2___very_little,sanitary_products,n/a,sanitary_produ,n/a,2015-08-30T13:51:28.000+06:45,2015-08-30T13:56:42.000+06:45,uuid:15831ea6-5fcc-4394-862b-ebe97af477b1,15831ea6-5fcc-4394-862b-ebe97af477b1,2015-08-30T08:09:23,,,,,,,,,,,,,,,,,
bhupendra shrestha,accountability,30/08/2015,n/a,n/a,n/a,n/a,n/a,Dhading,nalan,5,25_39,male,Brahmin,n/a,ngo_worker_bus,n/a,no_difficulty,3___neutral,long_term_shelter__housing,n/a,seeds_and_fertilizers,n/a,psychosocial_counseling,n/a,3___neutral,cash_for_work,n/a,building_mater,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,1___not_at_all,building_mater,n/a,housing_inspec,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,5___completely_yes,4___mostly_yes,5___completely_yes,n/a,n/a,n/a,n/a,n/a,2015-08-30T13:56:42.000+06:45,2015-08-30T14:00:23.000+06:45,uuid:596cfb67-86e5-4efa-b64b-6235d5bfec8e,596cfb67-86e5-4efa-b64b-6235d5bfec8e,2015-08-30T08:13:04,,,,,,,,,,,,,,,,,
bhupendra shrestha,accountability,30/08/2015,n/a,n/a,n/a,n/a,n/a,Dhading,nalan,5,40_54,female,Brahmin,n/a,ngo_worker_bus,n/a,no_difficulty,4___mostly_yes,n/a,n/a,n/a,n/a,n/a,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,3___neutral,how_to_get_healthcare_psycholo,n/a,how_to_register_for_access_sup,n/a,3___neutral,cash_for_work,n/a,seeds_and_fert,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,5___completely_yes,3___neutral,4___mostly_yes,n/a,n/a,n/a,n/a,n/a,2015-08-30T14:00:23.000+06:45,2015-08-30T14:03:18.000+06:45,uuid:299dfa7c-e1d0-4dfa-8115-a77ff75e2509,299dfa7c-e1d0-4dfa-8115-a77ff75e2509,2015-08-30T08:15:58,,,,,,,,,,,,,,,,,
bhupandra shrestha,accountability,30/08/2015,n/a,n/a,n/a,n/a,n/a,Dhading,salan,6,25_39,male,Janajati,n/a,government_ser,n/a,no_difficulty,5___completely_yes,n/a,n/a,n/a,n/a,n/a,n/a,2___very_little,building_mater,n/a,cash_for_work,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,2___very_little,building_mater,n/a,cash_for_work,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,5___completely_yes,5___completely,3___neutral,n/a,n/a,n/a,n/a,n/a,2015-08-30T13:01:23.000+06:45,2015-08-30T13:06:48.000+06:45,uuid:23cb2388-8a81-4177-ba76-bb82e86ef68b,23cb2388-8a81-4177-ba76-bb82e86ef68b,2015-08-30T07:18:15,,,,,,,,,,,,,,,,,
bhupendra shrestha,accountability,30/08/2015,n/a,n/a,n/a,n/a,n/a,Dhading,salan,6,25_39,male,Janajati,n/a,farmer_laborer,n/a,no_difficulty,4___mostly_yes,n/a,n/a,n/a,n/a,n/a,n/a,3___neutral,building_mater,n/a,cash_for_work,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,3___neutral,only_if_damage,n/a,based_on_caste,n/a,5___completely_yes,4___mostly_yes,5___completely_yes,n/a,n/a,n/a,n/a,n/a,2015-08-30T13:11:48.000+06:45,2015-08-30T13:18:13.000+06:45,uuid:43de5a23-14e7-47e2-9791-e36b06e4b55e,43de5a23-14e7-47e2-9791-e36b06e4b55e,2015-08-30T07:33:17,,,,,,,,,,,,,,,,,
bhupendra shrestha,accountability,30/08/2015,n/a,n/a,n/a,n/a,n/a,Dhading,salan,6,40_54,male,Brahmin,n/a,government_ser,n/a,yes__some_diff,3___neutral,long_term_shelter__housing,n/a,housing_inspections,n/a,livelihoods,n/a,3___neutral,cash_for_work,n/a,building_mater,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,1___not_at_all,cash_for_work,n/a,building_mater,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,5___completely_yes,4___mostly_yes,3___neutral,n/a,n/a,n/a,n/a,n/a,2015-08-30T13:18:13.000+06:45,2015-08-30T13:26:00.000+06:45,uuid:72afb3ef-adea-4477-b019-5f99979045b2,72afb3ef-adea-4477-b019-5f99979045b2,2015-08-30T07:37:28,,,,,,,,,,,,,,,,,
bhupendra shrestha,accountability,30/08/2015,n/a,n/a,n/a,n/a,n/a,Dhading,salan,6,40_54,male,Dalit,n/a,farmer_laborer,n/a,no_difficulty,3___neutral,education,n/a,long_term_shelter__housing,n/a,financial_support,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,3___neutral,how_to_get_healthcare_psycholo,n/a,how_to_get_shelter_materials,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,1___not_at_all,only_if_damage,n/a,based_on_caste,n/a,5___completely_yes,4___mostly_yes,3___neutral,n/a,n/a,n/a,n/a,n/a,2015-08-30T13:26:00.000+06:45,2015-08-30T13:29:07.000+06:45,uuid:716f0394-9c87-4b65-8c1a-26fa4c66db1f,716f0394-9c87-4b65-8c1a-26fa4c66db1f,2015-08-30T07:40:34,,,,,,,,,,,,,,,,,
bhupendra shrestha,accountability,30/08/2015,n/a,n/a,n/a,n/a,n/a,Dhading,salan,6,40_54,female,Newar,n/a,farmer_laborer,n/a,no_difficulty,3___neutral,long_term_shelter__housing,n/a,housing_inspections,n/a,livelihoods,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,3___neutral,cash_for_work,n/a,building_mater,n/a,3___neutral,only_if_damage,n/a,based_on_polit,n/a,4___mostly_yes,3___neutral,4___mostly_yes,4___mostly_yes,n/a,n/a,n/a,n/a,2015-08-30T13:29:07.000+06:45,2015-08-30T13:36:22.000+06:45,uuid:d7acd11e-15fa-4a96-962d-9454c3b0924b,d7acd11e-15fa-4a96-962d-9454c3b0924b,2015-08-30T07:47:49,,,,,,,,,,,,,,,,,
bhupendra shrestha,accountability,30/08/2015,n/a,n/a,n/a,n/a,n/a,Dhading,salan,3,40_54,male,Janajati,n/a,government_ser,n/a,no_difficulty,4___mostly_yes,n/a,n/a,n/a,n/a,n/a,n/a,3___neutral,building_mater,n/a,cash_for_work,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,1___not_at_all,cash_for_work,n/a,other,bewasaya sanchalan garna aarthik shayog,4___mostly_yes,n/a,n/a,n/a,n/a,5___completely_yes,2___not_very_m,4___mostly_yes,n/a,n/a,n/a,n/a,n/a,2015-08-30T14:03:18.000+06:45,2015-08-30T14:07:21.000+06:45,uuid:35d8ac95-f1db-4738-8b03-439104d69a9d,35d8ac95-f1db-4738-8b03-439104d69a9d,2015-08-30T08:20:01,,,,,,,,,,,,,,,,,
bhupendra shrestha,accountability,30/08/2015,n/a,n/a,n/a,n/a,n/a,Dhading,salan,3,40_54,male,Dalit,n/a,skilled_worker,n/a,no_difficulty,4___mostly_yes,n/a,n/a,n/a,n/a,n/a,n/a,3___neutral,cash_for_work,n/a,housing_inspec,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,2___very_little,cash_for_work,n/a,building_mater,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,5___completely_yes,3___neutral,3___neutral,n/a,n/a,n/a,n/a,n/a,2015-08-30T14:07:21.000+06:45,2015-08-30T14:10:45.000+06:45,uuid:de90a21a-070a-4282-8841-5f261bdc1c6f,de90a21a-070a-4282-8841-5f261bdc1c6f,2015-08-30T08:23:25,,,,,,,,,,,,,,,,,
bhupendra shrestha,accountability,30/08/2015,n/a,n/a,n/a,n/a,n/a,Dhading,salan,3,40_54,male,Newar,n/a,government_ser,n/a,no_difficulty,4___mostly_yes,n/a,n/a,n/a,n/a,n/a,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,3___neutral,only_if_damage,n/a,based_on_caste,n/a,5___completely_yes,4___mostly_yes,4___mostly_yes,n/a,n/a,n/a,n/a,n/a,2015-08-30T14:10:46.000+06:45,2015-08-30T14:13:29.000+06:45,uuid:60e0f1ce-07bb-4413-b45a-46d28a79ae63,60e0f1ce-07bb-4413-b45a-46d28a79ae63,2015-08-30T08:26:09,,,,,,,,,,,,,,,,,
bhupendra shrestha,accountability,30/08/2015,n/a,n/a,n/a,n/a,n/a,Dhading,salan,3,40_54,male,Newar,n/a,government_ser,n/a,no_difficulty,4___mostly_yes,n/a,n/a,n/a,n/a,n/a,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,3___neutral,cash_for_work,n/a,building_mater,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,4___mostly_yes,3___neutral,3___neutral,n/a,n/a,n/a,n/a,n/a,2015-08-30T14:13:29.000+06:45,2015-08-30T14:16:13.000+06:45,uuid:b76b269f-faf0-429a-b6bb-a10de7f4554d,b76b269f-faf0-429a-b6bb-a10de7f4554d,2015-08-30T08:28:55,,,,,,,,,,,,,,,,,
bhpendra shrestha,accountability,30/08/2015,n/a,n/a,n/a,n/a,n/a,Dhading,salan,3,25_39,female,Dalit,n/a,farmer_laborer,n/a,no_difficulty,4___mostly_yes,n/a,n/a,n/a,n/a,n/a,n/a,5___completely_yes,n/a,n/a,n/a,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,3___neutral,cash_for_work,n/a,building_mater,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,5___completely_yes,4___mostly_yes,3___neutral,3___neutral,toilets_sanitation,n/a,long_term_shelter__housing,n/a,2015-08-30T14:16:13.000+06:45,2015-08-30T14:19:27.000+06:45,uuid:47948e30-5dfb-40f0-8888-ff03407c518a,47948e30-5dfb-40f0-8888-ff03407c518a,2015-08-30T08:32:08,,,,,,,,,,,,,,,,,
