Name_of_enumerator_agency,Agency,Date,Record_Location,_Record_Location_latitude,_Record_Location_longitude,_Record_Location_altitude,_Record_Location_precision,District,VDC_Municipality,Ward_,Age,Gender,Caste_ethnicity,If__other__what_is_your_caste_,Occupation,If__other__what_is_your_occupa,Do_you_have_any_health_problem,Are_your_main_problems_being_a,What_is_your_biggest_problem,If__other__what_is_your_bigges,What_is_your_second_biggest_pr,If__other__what_is_your_second,What_is_your_third_biggest_pro,If__other__what_is_your_third_,Are_your_main_problems_being_a_001,What_is_the_top_thing_that_you,If__other__what_is_the_top_thi,What_is_the_second_most_import,If__other__what_is_the_second_,Are_your_main_problems_being_a_002,What_is_the_top_thing_that_you_001,If__other__what_is_the_top_thi_001,What_is_the_second_most_import_001,If__other__what_is_the_second__001,Are_your_main_problems_being_a_003,What_is_the_top_thing_that_you_002,If__other__what_is_the_top_thi_002,What_is_the_top_thing_that_you_003,If__other__what_is_the_second__002,Are_your_main_problems_being_a_004,What_is_the_top_reason_for_you,If__other__what_is_the_top_rea,What_is_the_top_reason_for_you_001,If_other_what_is_the_top_rea,Are_your_main_problems_being_a_005,Do_you_feel_you_have_been_hear,Are_your_main_problems_being_a_006,Are_your_main_problems_being_a_007,What_is_your_biggest_problem_001,If__other__what_is_the_biggest,What_is_your_biggest_problem_0,If__other__what_is_the_second__003,start,end,meta/instanceID,_uuid,_submission_time,_tags,_notes
ramesh rai,accountability,7/14/15,n/a,n/a,n/a,n/a,n/a,dhading,tripurshwor,1,55,male,chhetri,n/a,farmer_laborer,n/a,yes__some_diff,2___very_little,long_term_shelter__housing,n/a,education,n/a,healthcare,n/a,1___not_at_all,cash_for_work,n/a,building_mater,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,2___very_little,cash_for_work,n/a,building_mater,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,4___mostly_yes,4___mostly_yes,4___mostly_yes,n/a,n/a,n/a,n/a,n/a,2015-07-20T14:25:43.000+06:45,2015-07-20T14:28:22.000+06:45,uuid:cddfe319-45b8-4e74-87ab-d5993e522b14,cddfe319-45b8-4e74-87ab-d5993e522b14,2015-07-20T08:44:53,,
ramesh rai,accountability,7/16/15,n/a,n/a,n/a,n/a,n/a,dhading,tripureshwor,2,40_54,female,janajati,n/a,other,not mentioned,yes__some_diff,2___very_little,education,n/a,healthcare,n/a,clean_water,n/a,2___very_little,cash_for_work,n/a,building_mater,n/a,2___very_little,news_about_government_decision,n/a,how_to_get_shelter_materials,n/a,2___very_little,cash_for_work,n/a,building_mater,n/a,2___very_little,based_on_polit,n/a,first_come__fi,n/a,4___mostly_yes,4___mostly_yes,4___mostly_yes,2___very_little,education,n/a,toilets_sanitation,n/a,2015-07-20T14:28:23.000+06:45,2015-07-20T14:31:48.000+06:45,uuid:53878fab-cd66-45ec-9012-d558814a5e1e,53878fab-cd66-45ec-9012-d558814a5e1e,2015-07-20T08:48:19,,
ramesh rai,accountability,7/16/15,n/a,n/a,n/a,n/a,n/a,dhading,trpureshwor,2,25_39,female,chhetri,n/a,farmer_laborer,n/a,yes__some_diff,4___mostly_yes,n/a,n/a,n/a,n/a,n/a,n/a,1___not_at_all,building_mater,n/a,cash_for_work,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,1___not_at_all,building_mater,n/a,cash_for_work,n/a,1___not_at_all,based_on_caste,n/a,based_on_polit,n/a,refused,4___mostly_yes,1___not_at_all,4___mostly_yes,n/a,n/a,n/a,n/a,2015-07-20T14:31:48.000+06:45,2015-07-20T14:34:33.000+06:45,uuid:9ab54f8c-4ec4-473f-89e5-fa707e0e03f8,9ab54f8c-4ec4-473f-89e5-fa707e0e03f8,2015-07-20T08:51:06,,
ramesh rai,accountability,7/16/15,n/a,n/a,n/a,n/a,n/a,dhading,tripureshwor,2,15_24,male,chhetri,n/a,other,student,yes__some_diff,2___very_little,long_term_shelter__housing,n/a,clean_water,n/a,psychosocial_counseling,n/a,2___very_little,cash_for_work,n/a,building_mater,n/a,2___very_little,news_about_government_decision,n/a,how_to_get_shelter_materials,n/a,2___very_little,cash_for_work,n/a,building_mater,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,2___very_little,4___mostly_yes,4___mostly_yes,n/a,n/a,n/a,n/a,n/a,2015-07-20T14:34:33.000+06:45,2015-07-20T14:36:48.000+06:45,uuid:dfc46d42-b0bf-42ae-bf19-d770b5982305,dfc46d42-b0bf-42ae-bf19-d770b5982305,2015-07-20T08:53:19,,
ramesh rai,accountability,7/16/15,n/a,n/a,n/a,n/a,n/a,dhading,tripureshwor,2,40_54,male,janajati,n/a,farmer_laborer,n/a,no_difficulty,4___mostly_yes,n/a,n/a,n/a,n/a,n/a,n/a,1___not_at_all,cash_for_work,n/a,cash_for_work,n/a,5___completely_yes,n/a,n/a,n/a,n/a,5___completely_yes,n/a,n/a,n/a,n/a,1___not_at_all,other,chyati ko nischipya chanbin nahunu,other,chyati ko chanbin nahunu,4___mostly_yes,1___not_at_all,4___mostly_yes,n/a,n/a,n/a,n/a,n/a,2015-07-20T14:36:48.000+06:45,2015-07-20T14:39:30.000+06:45,uuid:d9c47036-b1c9-4acd-8c0a-9d2254f7bf8b,d9c47036-b1c9-4acd-8c0a-9d2254f7bf8b,2015-07-20T08:56:01,,
ramesh rai,accountability,7/17/15,n/a,n/a,n/a,n/a,n/a,dhading,salyantar,8,40_54,female,dalit,n/a,farmer_laborer,n/a,yes__a_lot_of_,2___very_little,long_term_shelter__housing,n/a,toilets_sanitation,n/a,livelihoods,n/a,2___very_little,cash_for_work,n/a,building_mater,n/a,1___not_at_all,how_to_register_for_access_sup,n/a,how_to_get_shelter_materials,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,4___mostly_yes,4___mostly_yes,4___mostly_yes,2___very_little,long_term_shelter__housing,n/a,financial_support,n/a,2015-07-20T14:39:30.000+06:45,2015-07-20T14:42:12.000+06:45,uuid:52b4c591-1e1d-463a-a7b6-e5e50260e578,52b4c591-1e1d-463a-a7b6-e5e50260e578,2015-07-20T08:58:43,,
ramesh rai,accountability,7/16/15,n/a,n/a,n/a,n/a,n/a,dhading,salyantar,8,15_24,female,janajati,n/a,farmer_laborer,n/a,yes__some_diff,2___very_little,long_term_shelter__housing,n/a,financial_support,n/a,education,n/a,2___very_little,cash_for_work,n/a,building_mater,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,5___completely_yes,n/a,n/a,n/a,n/a,4___mostly_yes,2___not_very_m,4___mostly_yes,2___very_little,long_term_shelter__housing,n/a,toilets_sanitation,n/a,2015-07-20T14:42:12.000+06:45,2015-07-20T14:44:10.000+06:45,uuid:891b67b4-8150-4432-b500-597cb1ec3f1f,891b67b4-8150-4432-b500-597cb1ec3f1f,2015-07-20T09:00:41,,
ramesh rai,accountability,7/16/15,n/a,n/a,n/a,n/a,n/a,dhading,salyantar,8,40_54,male,janajati,n/a,farmer_laborer,n/a,yes__a_lot_of_,1___not_at_all,short_term_shelter__tent_shelt,n/a,seeds_and_fertilizers,n/a,long_term_shelter__housing,n/a,2___very_little,building_mater,n/a,cash_for_work,n/a,5___completely_yes,n/a,n/a,n/a,n/a,3___neutral,food_aid,n/a,cash_for_work,n/a,1___not_at_all,first_come__fi,n/a,based_on_dista,n/a,1___not_at_all,5___completely,2___very_little,n/a,n/a,n/a,n/a,n/a,2015-07-20T14:44:11.000+06:45,2015-07-20T14:46:04.000+06:45,uuid:4db41d7f-f21e-469e-9c7b-48e5543b1465,4db41d7f-f21e-469e-9c7b-48e5543b1465,2015-07-20T09:02:35,,
ramesh rai,accountability,7/16/15,n/a,n/a,n/a,n/a,n/a,dhading,salyantar,8,55,male,newar,n/a,farmer_laborer,n/a,yes__a_lot_of_,1___not_at_all,long_term_shelter__housing,n/a,healthcare,n/a,psychosocial_counseling,n/a,2___very_little,cash_for_work,n/a,building_mater,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,5___completely_yes,n/a,n/a,n/a,n/a,1___not_at_all,based_on_polit,n/a,first_come__fi,n/a,3___neutral,1___not_at_all,5___completely_yes,n/a,n/a,n/a,n/a,n/a,2015-07-20T14:46:04.000+06:45,2015-07-20T14:48:46.000+06:45,uuid:ab0e6fcb-397a-4d53-8e1b-ff1b96af7c09,ab0e6fcb-397a-4d53-8e1b-ff1b96af7c09,2015-07-20T09:05:17,,
ramesh rai,accountability,7/16/15,n/a,n/a,n/a,n/a,n/a,dhading,salyantar,8,40_54,female,janajati,n/a,farmer_laborer,n/a,no_difficulty,3___neutral,long_term_shelter__housing,n/a,toilets_sanitation,n/a,livelihoods,n/a,refused,n/a,n/a,n/a,n/a,2___very_little,finding_missing_people,n/a,how_to_get_shelter_materials,n/a,refused,n/a,n/a,n/a,n/a,1___not_at_all,based_on_polit,n/a,first_come__fi,n/a,refused,refused,1___not_at_all,1___not_at_all,long_term_shelter__housing,n/a,livelihoods,n/a,2015-07-20T14:48:47.000+06:45,2015-07-20T14:51:05.000+06:45,uuid:922db138-747f-427d-ab8c-8d27f37e7cf3,922db138-747f-427d-ab8c-8d27f37e7cf3,2015-07-20T09:07:36,,
ramesh rai,accountability,7/16/15,n/a,n/a,n/a,n/a,n/a,dhading,salyantar,6,refused,female,other,not mentioned,other,not mentioned,no_difficulty,2___very_little,long_term_shelter__housing,n/a,financial_support,n/a,education,n/a,1___not_at_all,cash_for_work,n/a,building_mater,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,4___mostly_yes,4___mostly_yes,4___mostly_yes,n/a,n/a,n/a,n/a,n/a,2015-07-20T14:51:06.000+06:45,2015-07-20T14:53:39.000+06:45,uuid:c555fc14-89aa-45e3-8c73-7e654ed2179a,c555fc14-89aa-45e3-8c73-7e654ed2179a,2015-07-20T09:10:07,,
ramesh rai,accountability,7/16/15,n/a,n/a,n/a,n/a,n/a,dhading,tripureshwor,6,15_24,female,janajati,n/a,farmer_laborer,n/a,yes__a_lot_of_,2___very_little,long_term_shelter__housing,n/a,toilets_sanitation,n/a,education,n/a,1___not_at_all,cash_for_work,n/a,building_mater,n/a,2___very_little,news_about_government_decision,n/a,how_to_register_for_access_sup,n/a,2___very_little,cash_for_work,n/a,building_mater,n/a,1___not_at_all,first_come__fi,n/a,based_on_dista,n/a,3___neutral,2___not_very_m,5___completely_yes,1___not_at_all,financial_support,n/a,toilets_sanitation,n/a,2015-07-20T14:53:39.000+06:45,2015-07-20T14:56:40.000+06:45,uuid:da19113c-cdaa-464d-b1be-8e0ace9f9fd3,da19113c-cdaa-464d-b1be-8e0ace9f9fd3,2015-07-20T09:13:07,,
ramesh rai,accountability,7/13/15,n/a,n/a,n/a,n/a,n/a,dhading,tripureshwor,6,40_54,male,chhetri,n/a,government_service__i_e__teach,n/a,yes__some_diff,2___very_little,long_term_shelter__housing,n/a,financial_support,n/a,education,n/a,refused,n/a,n/a,n/a,n/a,2___very_little,news_about_government_decision,n/a,finding_missing_people,n/a,refused,n/a,n/a,n/a,n/a,refused,n/a,n/a,n/a,n/a,5___completely_yes,5___completely,5___completely_yes,n/a,n/a,n/a,n/a,n/a,2015-07-20T14:56:40.000+06:45,2015-07-20T15:01:06.000+06:45,uuid:9e128754-4833-4768-968d-0841305a0ed4,9e128754-4833-4768-968d-0841305a0ed4,2015-07-20T09:17:32,,
ramesh rai,accountability,7/13/15,n/a,n/a,n/a,n/a,n/a,dhading,TRIPURESHWOR,6,55,female,brahmin,n/a,farmer_laborer,n/a,yes__some_diff,5___completely_yes,n/a,n/a,n/a,n/a,n/a,n/a,1___not_at_all,cash_for_work,n/a,building_mater,n/a,5___completely_yes,n/a,n/a,n/a,n/a,5___completely_yes,n/a,n/a,n/a,n/a,2___very_little,based_on_caste,n/a,first_come__fi,n/a,5___completely_yes,5___completely,5___completely_yes,5___completely_yes,n/a,n/a,n/a,n/a,2015-07-20T15:01:07.000+06:45,2015-07-20T15:03:29.000+06:45,uuid:65d21a35-e3fb-4f84-aad8-be602ae385bb,65d21a35-e3fb-4f84-aad8-be602ae385bb,2015-07-20T09:19:54,,
Ramesh darai,accountability,7/14/15,n/a,n/a,n/a,n/a,n/a,dhading,Tripureshowr,6,55,male,chhetri,n/a,farmer_laborer,n/a,yes__some_diff,2___very_little,long_term_shelter__housing,n/a,education,n/a,healthcare,n/a,don_t_know,n/a,n/a,n/a,n/a,5___completely_yes,n/a,n/a,n/a,n/a,5___completely_yes,n/a,n/a,n/a,n/a,2___very_little,based_on_caste,n/a,first_come__fi,n/a,5___completely_yes,5___completely,5___completely_yes,n/a,n/a,n/a,n/a,n/a,2015-07-20T14:55:11.000+06:45,2015-07-20T15:06:41.000+06:45,uuid:da4bde63-6043-4e74-854c-1a428f42f18e,da4bde63-6043-4e74-854c-1a428f42f18e,2015-07-20T09:21:49,,
Maheshwor Subedi,accountability,7/13/15,n/a,n/a,n/a,n/a,n/a,dhading,THAKREY,6,25_39,male,tamang,n/a,farmer_laborer,n/a,no_difficulty,4___mostly_yes,n/a,n/a,n/a,n/a,n/a,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,don_t_know,n/a,n/a,n/a,n/a,5___completely_yes,n/a,n/a,n/a,n/a,5___completely_yes,5___completely,4___mostly_yes,n/a,n/a,n/a,n/a,n/a,2015-07-20T15:03:29.000+06:45,2015-07-20T15:05:34.000+06:45,uuid:2dccd2a2-320e-4a88-bdd9-51fe690b516c,2dccd2a2-320e-4a88-bdd9-51fe690b516c,2015-07-20T09:21:58,,
Maheshwor Subedi,accountability,7/13/15,n/a,n/a,n/a,n/a,n/a,dhading,THAKREY,6,40_54,female,tamang,n/a,farmer_laborer,n/a,yes__some_diff,1___not_at_all,long_term_shelter__housing,n/a,financial_support,n/a,toilets_sanitation,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,refused,n/a,n/a,n/a,n/a,don_t_know,n/a,n/a,n/a,n/a,don_t_know,n/a,n/a,n/a,n/a,4___mostly_yes,don_t_know,refused,1___not_at_all,child_protection,n/a,option_18,n/a,2015-07-20T15:05:34.000+06:45,2015-07-20T15:08:19.000+06:45,uuid:f391239f-885d-4a59-92e6-ad48dc73b7e2,f391239f-885d-4a59-92e6-ad48dc73b7e2,2015-07-20T09:24:42,,
Maheshwor Subedi,accountability,7/13/15,n/a,n/a,n/a,n/a,n/a,dhading,THAKREY,6,15_24,male,other,NOT MENTIONED,farmer_laborer,n/a,no_difficulty,4___mostly_yes,n/a,n/a,n/a,n/a,n/a,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,5___completely_yes,n/a,n/a,n/a,n/a,1___not_at_all,building_mater,n/a,cash_for_work,n/a,1___not_at_all,based_on_polit,n/a,based_on_dista,n/a,4___mostly_yes,4___mostly_yes,5___completely_yes,n/a,n/a,n/a,n/a,n/a,2015-07-20T15:08:19.000+06:45,2015-07-20T15:10:31.000+06:45,uuid:dcb7dffd-9982-4f12-8915-14551d52994a,dcb7dffd-9982-4f12-8915-14551d52994a,2015-07-20T09:26:53,,
Maheshwor Subedi,accountability,7/13/15,n/a,n/a,n/a,n/a,n/a,dhading,THAKREY,6,25_39,male,tamang,n/a,farmer_laborer,n/a,no_difficulty,1___not_at_all,long_term_shelter__housing,n/a,livelihoods,n/a,clean_water,n/a,don_t_know,n/a,n/a,n/a,n/a,refused,n/a,n/a,n/a,n/a,don_t_know,n/a,n/a,n/a,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,4___mostly_yes,1___not_at_all,don_t_know,n/a,n/a,n/a,n/a,n/a,2015-07-20T15:10:32.000+06:45,2015-07-20T15:12:38.000+06:45,uuid:460f954b-6a40-45be-aced-43de8f0421cd,460f954b-6a40-45be-aced-43de8f0421cd,2015-07-20T09:28:59,,
renu shrestha,accountability,7/16/15,n/a,n/a,n/a,n/a,n/a,dolakha,gorkha,9,15_24,male,other,notmentioned,skilled_worker__i_e__carpenter,n/a,no_difficulty,1___not_at_all,long_term_shelter__housing,n/a,clean_water,n/a,other,notmentioned,refused,n/a,n/a,n/a,n/a,1___not_at_all,news_about_government_decision,n/a,how_to_register_for_access_sup,n/a,refused,n/a,n/a,n/a,n/a,3___neutral,because_people,n/a,based_on_dista,n/a,1___not_at_all,3___neutral,2___very_little,n/a,n/a,n/a,n/a,n/a,2015-07-20T15:29:00.000+06:45,2015-07-20T15:36:37.000+06:45,uuid:7633e49a-245e-49ee-a749-0b5c32f07e17,7633e49a-245e-49ee-a749-0b5c32f07e17,2015-07-20T09:51:13,,
bishal adhikari,accountability,7/17/15,n/a,n/a,n/a,n/a,n/a,dolakha,not mentioned,2,25_39,male,gurung,n/a,farmer_laborer,n/a,yes__a_lot_of_,5___completely_yes,n/a,n/a,n/a,n/a,n/a,n/a,5___completely_yes,n/a,n/a,n/a,n/a,3___neutral,how_to_register_for_access_sup,n/a,how_to_get_shelter_materials,n/a,1___not_at_all,cash_for_work,n/a,food_aid,n/a,5___completely_yes,n/a,n/a,n/a,n/a,3___neutral,1___not_at_all,3___neutral,n/a,n/a,n/a,n/a,n/a,2015-07-20T16:16:39.000+06:45,2015-07-20T16:19:47.000+06:45,uuid:cef0a0bc-7fd7-418c-9dba-608c4045109e,cef0a0bc-7fd7-418c-9dba-608c4045109e,2015-07-20T10:32:57,,
sanjit shrestha,accountability,7/14/15,n/a,n/a,n/a,n/a,n/a,dolakha,vimeshwor,3,refused,male,newar,n/a,farmer_laborer,n/a,yes__a_lot_of_,2___very_little,long_term_shelter__housing,n/a,other,stay at others place,financial_support,n/a,1___not_at_all,building_mater,n/a,food_aid,n/a,1___not_at_all,news_about_government_decision,n/a,other,notmentoned,2___very_little,seeds_and_fert,n/a,option_6,notmentioned,1___not_at_all,based_on_polit,n/a,based_on_caste,n/a,2___very_little,1___not_at_all,2___very_little,n/a,n/a,n/a,n/a,n/a,2015-07-21T14:29:41.000+06:45,2015-07-21T14:33:22.000+06:45,uuid:41d83f94-5c45-4fd3-a391-6b9a94683181,41d83f94-5c45-4fd3-a391-6b9a94683181,2015-07-21T08:48:28,,
sanjit shrestha,accountability,7/16/15,n/a,n/a,n/a,n/a,n/a,dolakha,vimeshwor,4,25_39,male,tamang,n/a,farmer_laborer,n/a,no_difficulty,2___very_little,education,n/a,healthcare,n/a,psychosocial_counseling,n/a,2___very_little,housing_inspec,n/a,cash_for_work,n/a,2___very_little,news_about_government_decision,n/a,how_to_get_shelter_materials,n/a,3___neutral,building_mater,n/a,cash_for_work,n/a,2___very_little,based_on_caste,n/a,based_on_polit,n/a,1___not_at_all,3___neutral,4___mostly_yes,n/a,n/a,n/a,n/a,n/a,2015-07-21T14:13:39.000+06:45,2015-07-21T14:16:31.000+06:45,uuid:4e544600-42e4-4e8f-89ce-32d57d289065,4e544600-42e4-4e8f-89ce-32d57d289065,2015-07-21T08:31:37,,
sanjit shrestha,accountability,7/16/15,n/a,n/a,n/a,n/a,n/a,dolakha,vimeshwor,4,40_54,male,tamang,n/a,farmer_laborer,n/a,no_difficulty,4___mostly_yes,n/a,n/a,n/a,n/a,n/a,n/a,5___completely_yes,n/a,n/a,n/a,n/a,1___not_at_all,news_about_government_decision,n/a,how_to_get_shelter_materials,n/a,5___completely_yes,n/a,n/a,n/a,n/a,don_t_know,n/a,n/a,n/a,n/a,1___not_at_all,4___mostly_yes,3___neutral,n/a,n/a,n/a,n/a,n/a,2015-07-21T14:16:31.000+06:45,2015-07-21T14:18:15.000+06:45,uuid:84c8dc1d-2286-46ec-92d3-1daa9bfd0ad8,84c8dc1d-2286-46ec-92d3-1daa9bfd0ad8,2015-07-21T08:33:21,,
sanjit shrestha,accountability,7/16/15,n/a,n/a,n/a,n/a,n/a,dolakha,vimeshwor,4,40_54,male,tamang,n/a,farmer_laborer,n/a,yes__a_lot_of_,1___not_at_all,long_term_shelter__housing,n/a,financial_support,n/a,food,n/a,2___very_little,cash_for_work,n/a,seeds_and_fert,n/a,1___not_at_all,news_about_government_decision,n/a,how_to_get_shelter_materials,n/a,2___very_little,building_mater,n/a,cash_for_work,n/a,don_t_know,n/a,n/a,n/a,n/a,1___not_at_all,1___not_at_all,1___not_at_all,n/a,n/a,n/a,n/a,n/a,2015-07-21T14:18:15.000+06:45,2015-07-21T14:20:25.000+06:45,uuid:c415fe30-3589-4344-9274-81d7cd3bc3f1,c415fe30-3589-4344-9274-81d7cd3bc3f1,2015-07-21T08:35:32,,
sanjit shrestha,accountability,7/16/15,n/a,n/a,n/a,n/a,n/a,dolakha,vimeshwor,4,25_39,male,janajati,n/a,farmer_laborer,n/a,no_difficulty,4___mostly_yes,n/a,n/a,n/a,n/a,n/a,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,3___neutral,based_on_polit,n/a,based_on_caste,n/a,2___very_little,2___not_very_m,don_t_know,n/a,n/a,n/a,n/a,n/a,2015-07-21T14:20:25.000+06:45,2015-07-21T14:22:21.000+06:45,uuid:532dc1b2-0e98-45d8-bae3-489d790b722d,532dc1b2-0e98-45d8-bae3-489d790b722d,2015-07-21T08:37:27,,
sanjit shrestha,accountability,7/15/15,n/a,n/a,n/a,n/a,n/a,dolakha,vimeshwor,4,40_54,female,dalit,n/a,farmer_laborer,n/a,yes__some_diff,2___very_little,long_term_shelter__housing,n/a,financial_support,n/a,seeds_and_fertilizers,n/a,2___very_little,cash_for_work,n/a,option_6,donation,1___not_at_all,news_about_government_decision,n/a,how_to_register_for_access_sup,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,3___neutral,based_on_caste,n/a,first_come__fi,n/a,2___very_little,2___not_very_m,1___not_at_all,3___neutral,long_term_shelter__housing,n/a,toilets_sanitation,n/a,2015-07-21T14:22:21.000+06:45,2015-07-21T14:25:04.000+06:45,uuid:282277e2-068d-46b7-86d6-089234447640,282277e2-068d-46b7-86d6-089234447640,2015-07-21T08:40:10,,
sanjit shrestha,accountability,7/15/15,n/a,n/a,n/a,n/a,n/a,dolakha,vimeshwor,4,55,male,tamang,n/a,farmer_laborer,n/a,yes__a_lot_of_,1___not_at_all,long_term_shelter__housing,n/a,financial_support,n/a,psychosocial_counseling,n/a,3___neutral,building_mater,n/a,cash_for_work,n/a,2___very_little,news_about_government_decision,n/a,how_to_get_shelter_materials,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,don_t_know,n/a,n/a,n/a,n/a,1___not_at_all,1___not_at_all,don_t_know,n/a,n/a,n/a,n/a,n/a,2015-07-21T14:25:04.000+06:45,2015-07-21T14:27:11.000+06:45,uuid:ded43b32-0c54-4dce-98a3-06906c6dea11,ded43b32-0c54-4dce-98a3-06906c6dea11,2015-07-21T08:42:18,,
sanjit shrestha,accountability,7/14/15,n/a,n/a,n/a,n/a,n/a,dolakha,vimeshwor,3,40_54,female,newar,n/a,farmer_laborer,n/a,yes__some_diff,3___neutral,long_term_shelter__housing,n/a,financial_support,n/a,toilets_sanitation,n/a,1___not_at_all,cash_for_work,n/a,cash_for_work,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,5___completely_yes,n/a,n/a,n/a,n/a,3___neutral,based_on_caste,n/a,first_come__fi,n/a,2___very_little,4___mostly_yes,refused,2___very_little,long_term_shelter__housing,n/a,financial_support,n/a,2015-07-21T14:27:11.000+06:45,2015-07-21T14:29:41.000+06:45,uuid:c62fb54d-bb27-47a6-bd96-6979683ae0ef,c62fb54d-bb27-47a6-bd96-6979683ae0ef,2015-07-21T08:44:47,,
sanjit shrestha,accountability,7/14/15,n/a,n/a,n/a,n/a,n/a,dolakha,vimeshwor,3,15_24,female,newar,n/a,other,notmentioned,yes__some_diff,2___very_little,long_term_shelter__housing,n/a,psychosocial_counseling,n/a,housing_inspections,n/a,1___not_at_all,cash_for_work,n/a,option_6,notmentioned,4___mostly_yes,n/a,n/a,n/a,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,2___very_little,don_t_know,2___very_little,4___mostly_yes,n/a,n/a,n/a,n/a,2015-07-21T14:33:22.000+06:45,2015-07-21T14:35:50.000+06:45,uuid:adc3de6e-d523-4af0-b3c5-1e98a0a36157,adc3de6e-d523-4af0-b3c5-1e98a0a36157,2015-07-21T08:50:56,,
sanjit shrestha,accountability,7/14/15,n/a,n/a,n/a,n/a,n/a,dolakha,vimeshwor,3,40_54,male,chhetri,n/a,government_service__i_e__teach,n/a,yes__some_diff,1___not_at_all,short_term_shelter__tent_shelt,n/a,other,not mentioned,other,notmentioned,4___mostly_yes,n/a,n/a,n/a,n/a,2___very_little,news_about_government_decision,n/a,how_to_register_for_access_sup,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,1___not_at_all,1___not_at_all,3___neutral,n/a,n/a,n/a,n/a,n/a,2015-07-21T14:35:50.000+06:45,2015-07-21T14:38:35.000+06:45,uuid:0b4397a0-c17a-4753-8046-c40dbfa4224f,0b4397a0-c17a-4753-8046-c40dbfa4224f,2015-07-21T08:53:41,,
sanjit shrestha,accountability,7/14/15,n/a,n/a,n/a,n/a,n/a,dolakha,vimeshwor,3,40_54,female,janajati,n/a,farmer_laborer,n/a,yes__some_diff,1___not_at_all,long_term_shelter__housing,n/a,healthcare,n/a,seeds_and_fertilizers,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,2___very_little,news_about_government_decision,n/a,other,notmentioned,4___mostly_yes,n/a,n/a,n/a,n/a,5___completely_yes,n/a,n/a,n/a,n/a,2___very_little,4___mostly_yes,2___very_little,5___completely_yes,n/a,n/a,n/a,n/a,2015-07-21T14:38:35.000+06:45,2015-07-21T14:40:56.000+06:45,uuid:34badbf9-679a-4ce9-a73e-8ce348b38775,34badbf9-679a-4ce9-a73e-8ce348b38775,2015-07-21T08:56:03,,
sanjit shrestha,accountability,7/14/15,n/a,n/a,n/a,n/a,n/a,dolakha,vineshwor,3,25_39,male,chhetri,n/a,farmer_laborer,n/a,no_difficulty,1___not_at_all,long_term_shelter__housing,n/a,food,n/a,financial_support,n/a,2___very_little,building_mater,n/a,seeds_and_fert,n/a,1___not_at_all,news_about_government_decision,n/a,how_to_register_for_access_sup,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,1___not_at_all,2___not_very_m,3___neutral,n/a,n/a,n/a,n/a,n/a,2015-07-21T14:40:56.000+06:45,2015-07-21T14:43:01.000+06:45,uuid:52e559d2-b3f9-4b22-8863-ef75a75e102e,52e559d2-b3f9-4b22-8863-ef75a75e102e,2015-07-21T08:58:09,,
sanjit shrestha,accountability,7/16/15,n/a,n/a,n/a,n/a,n/a,dolakha,vimeshwor,2,15_24,female,janajati,n/a,farmer_laborer,n/a,no_difficulty,2___very_little,long_term_shelter__housing,n/a,financial_support,n/a,education,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,don_t_know,n/a,n/a,n/a,n/a,4___mostly_yes,3___neutral,2___very_little,4___mostly_yes,n/a,n/a,n/a,n/a,2015-07-21T14:43:02.000+06:45,2015-07-21T14:44:55.000+06:45,uuid:65c1c63c-aa0f-41d6-a09a-007837ab4e63,65c1c63c-aa0f-41d6-a09a-007837ab4e63,2015-07-21T09:00:02,,
